gene:Zm00001eb000250 gene:Zm00001eb000290
gene:Zm00001eb019060 gene:Zm00001eb019070
gene:Zm00001eb019070 gene:Zm00001eb019080
gene:Zm00001eb019480 gene:Zm00001eb019510
gene:Zm00001eb019530 gene:Zm00001eb019550
gene:Zm00001eb019660 gene:Zm00001eb019680
gene:Zm00001eb019740 gene:Zm00001eb019750
gene:Zm00001eb020560 gene:Zm00001eb020570
gene:Zm00001eb020560 gene:Zm00001eb020590
gene:Zm00001eb020570 gene:Zm00001eb020590
gene:Zm00001eb020610 gene:Zm00001eb020630
gene:Zm00001eb020630 gene:Zm00001eb020640
gene:Zm00001eb020640 gene:Zm00001eb020650
gene:Zm00001eb020950 gene:Zm00001eb020970
gene:Zm00001eb020970 gene:Zm00001eb020980
gene:Zm00001eb021040 gene:Zm00001eb021060
gene:Zm00001eb021590 gene:Zm00001eb021600
gene:Zm00001eb021590 gene:Zm00001eb021610
gene:Zm00001eb021600 gene:Zm00001eb021610
gene:Zm00001eb021600 gene:Zm00001eb021620
gene:Zm00001eb021610 gene:Zm00001eb021620
gene:Zm00001eb021610 gene:Zm00001eb021630
gene:Zm00001eb021620 gene:Zm00001eb021630
gene:Zm00001eb021620 gene:Zm00001eb021640
gene:Zm00001eb021630 gene:Zm00001eb021640
gene:Zm00001eb021630 gene:Zm00001eb021650
gene:Zm00001eb021640 gene:Zm00001eb021650
gene:Zm00001eb021640 gene:Zm00001eb021690
gene:Zm00001eb021650 gene:Zm00001eb021690
gene:Zm00001eb021690 gene:Zm00001eb021710
gene:Zm00001eb022340 gene:Zm00001eb022350
gene:Zm00001eb022470 gene:Zm00001eb022530
gene:Zm00001eb022480 gene:Zm00001eb022540
gene:Zm00001eb022530 gene:Zm00001eb022560
gene:Zm00001eb022540 gene:Zm00001eb022570
gene:Zm00001eb022550 gene:Zm00001eb022570
gene:Zm00001eb023040 gene:Zm00001eb023060
gene:Zm00001eb023040 gene:Zm00001eb023070
gene:Zm00001eb023060 gene:Zm00001eb023070
gene:Zm00001eb023370 gene:Zm00001eb023380
gene:Zm00001eb023370 gene:Zm00001eb023390
gene:Zm00001eb023400 gene:Zm00001eb023420
gene:Zm00001eb023420 gene:Zm00001eb023430
gene:Zm00001eb023420 gene:Zm00001eb023460
gene:Zm00001eb023430 gene:Zm00001eb023460
gene:Zm00001eb023540 gene:Zm00001eb023590
gene:Zm00001eb023600 gene:Zm00001eb023610
gene:Zm00001eb023630 gene:Zm00001eb023640
gene:Zm00001eb024900 gene:Zm00001eb024910
gene:Zm00001eb025140 gene:Zm00001eb025160
gene:Zm00001eb025400 gene:Zm00001eb025410
gene:Zm00001eb025400 gene:Zm00001eb025420
gene:Zm00001eb025720 gene:Zm00001eb025730
gene:Zm00001eb025860 gene:Zm00001eb025870
gene:Zm00001eb025860 gene:Zm00001eb025880
gene:Zm00001eb025870 gene:Zm00001eb025880
gene:Zm00001eb025870 gene:Zm00001eb025890
gene:Zm00001eb025880 gene:Zm00001eb025890
gene:Zm00001eb025880 gene:Zm00001eb025900
gene:Zm00001eb025890 gene:Zm00001eb025900
gene:Zm00001eb026070 gene:Zm00001eb026110
gene:Zm00001eb026080 gene:Zm00001eb026110
gene:Zm00001eb026130 gene:Zm00001eb026140
gene:Zm00001eb026240 gene:Zm00001eb026300
gene:Zm00001eb026300 gene:Zm00001eb026330
gene:Zm00001eb026360 gene:Zm00001eb026370
gene:Zm00001eb026430 gene:Zm00001eb026440
gene:Zm00001eb026460 gene:Zm00001eb026500
gene:Zm00001eb026500 gene:Zm00001eb026530
gene:Zm00001eb026680 gene:Zm00001eb026690
gene:Zm00001eb026700 gene:Zm00001eb026710
gene:Zm00001eb026890 gene:Zm00001eb026900
gene:Zm00001eb027160 gene:Zm00001eb027180
gene:Zm00001eb027400 gene:Zm00001eb027410
gene:Zm00001eb027440 gene:Zm00001eb027450
gene:Zm00001eb027440 gene:Zm00001eb027480
gene:Zm00001eb027450 gene:Zm00001eb027480
gene:Zm00001eb027470 gene:Zm00001eb027480
gene:Zm00001eb027610 gene:Zm00001eb027650
gene:Zm00001eb027650 gene:Zm00001eb027680
gene:Zm00001eb029350 gene:Zm00001eb029360
gene:Zm00001eb029700 gene:Zm00001eb029740
gene:Zm00001eb029860 gene:Zm00001eb029880
gene:Zm00001eb029860 gene:Zm00001eb029890
gene:Zm00001eb030130 gene:Zm00001eb030140
gene:Zm00001eb030130 gene:Zm00001eb030160
gene:Zm00001eb030140 gene:Zm00001eb030160
gene:Zm00001eb030600 gene:Zm00001eb030630
gene:Zm00001eb030630 gene:Zm00001eb030640
gene:Zm00001eb030730 gene:Zm00001eb030740
gene:Zm00001eb030790 gene:Zm00001eb030830
gene:Zm00001eb030800 gene:Zm00001eb030840
gene:Zm00001eb030810 gene:Zm00001eb030850
gene:Zm00001eb030910 gene:Zm00001eb030920
gene:Zm00001eb030930 gene:Zm00001eb030950
gene:Zm00001eb031010 gene:Zm00001eb031020
gene:Zm00001eb031060 gene:Zm00001eb031070
gene:Zm00001eb031300 gene:Zm00001eb031310
gene:Zm00001eb031450 gene:Zm00001eb031470
gene:Zm00001eb031470 gene:Zm00001eb031490
gene:Zm00001eb031840 gene:Zm00001eb031850
gene:Zm00001eb032240 gene:Zm00001eb032250
gene:Zm00001eb032270 gene:Zm00001eb032280
gene:Zm00001eb032520 gene:Zm00001eb032560
gene:Zm00001eb032560 gene:Zm00001eb032580
gene:Zm00001eb032570 gene:Zm00001eb032590
gene:Zm00001eb032580 gene:Zm00001eb032600
gene:Zm00001eb032670 gene:Zm00001eb032680
gene:Zm00001eb032900 gene:Zm00001eb032920
gene:Zm00001eb032970 gene:Zm00001eb032990
gene:Zm00001eb033130 gene:Zm00001eb033140
gene:Zm00001eb033290 gene:Zm00001eb033330
gene:Zm00001eb033310 gene:Zm00001eb033320
gene:Zm00001eb033690 gene:Zm00001eb033700
gene:Zm00001eb033720 gene:Zm00001eb033740
gene:Zm00001eb033870 gene:Zm00001eb033880
gene:Zm00001eb033870 gene:Zm00001eb033890
gene:Zm00001eb034260 gene:Zm00001eb034320
gene:Zm00001eb034280 gene:Zm00001eb034300
gene:Zm00001eb034300 gene:Zm00001eb034330
gene:Zm00001eb034330 gene:Zm00001eb034390
gene:Zm00001eb034420 gene:Zm00001eb034440
gene:Zm00001eb034480 gene:Zm00001eb034520
gene:Zm00001eb034490 gene:Zm00001eb034530
gene:Zm00001eb034530 gene:Zm00001eb034590
gene:Zm00001eb034550 gene:Zm00001eb034560
gene:Zm00001eb034590 gene:Zm00001eb034620
gene:Zm00001eb035120 gene:Zm00001eb035130
gene:Zm00001eb035460 gene:Zm00001eb035470
gene:Zm00001eb035460 gene:Zm00001eb035490
gene:Zm00001eb035470 gene:Zm00001eb035490
gene:Zm00001eb035890 gene:Zm00001eb035900
gene:Zm00001eb035890 gene:Zm00001eb035910
gene:Zm00001eb035900 gene:Zm00001eb035910
gene:Zm00001eb035900 gene:Zm00001eb035940
gene:Zm00001eb035910 gene:Zm00001eb035940
gene:Zm00001eb035920 gene:Zm00001eb035930
gene:Zm00001eb036770 gene:Zm00001eb036780
gene:Zm00001eb037870 gene:Zm00001eb037880
gene:Zm00001eb037940 gene:Zm00001eb037950
gene:Zm00001eb038140 gene:Zm00001eb038180
gene:Zm00001eb038180 gene:Zm00001eb038190
gene:Zm00001eb038250 gene:Zm00001eb038270
gene:Zm00001eb038270 gene:Zm00001eb038280
gene:Zm00001eb038270 gene:Zm00001eb038290
gene:Zm00001eb038280 gene:Zm00001eb038290
gene:Zm00001eb038960 gene:Zm00001eb038980
gene:Zm00001eb038960 gene:Zm00001eb038990
gene:Zm00001eb038980 gene:Zm00001eb038990
gene:Zm00001eb039080 gene:Zm00001eb039100
gene:Zm00001eb039090 gene:Zm00001eb039120
gene:Zm00001eb039430 gene:Zm00001eb039460
gene:Zm00001eb039440 gene:Zm00001eb039470
gene:Zm00001eb039450 gene:Zm00001eb039490
gene:Zm00001eb039460 gene:Zm00001eb039500
gene:Zm00001eb039470 gene:Zm00001eb039510
gene:Zm00001eb039500 gene:Zm00001eb039530
gene:Zm00001eb039570 gene:Zm00001eb039580
gene:Zm00001eb039760 gene:Zm00001eb039770
gene:Zm00001eb039860 gene:Zm00001eb039870
gene:Zm00001eb039860 gene:Zm00001eb039880
gene:Zm00001eb039870 gene:Zm00001eb039880
gene:Zm00001eb039870 gene:Zm00001eb039890
gene:Zm00001eb039880 gene:Zm00001eb039890
gene:Zm00001eb039880 gene:Zm00001eb039900
gene:Zm00001eb039890 gene:Zm00001eb039900
gene:Zm00001eb039890 gene:Zm00001eb039910
gene:Zm00001eb039900 gene:Zm00001eb039910
gene:Zm00001eb039900 gene:Zm00001eb039920
gene:Zm00001eb039910 gene:Zm00001eb039920
gene:Zm00001eb039910 gene:Zm00001eb039930
gene:Zm00001eb039920 gene:Zm00001eb039930
gene:Zm00001eb040290 gene:Zm00001eb040300
gene:Zm00001eb040610 gene:Zm00001eb040650
gene:Zm00001eb040650 gene:Zm00001eb040680
gene:Zm00001eb041290 gene:Zm00001eb041310
gene:Zm00001eb041320 gene:Zm00001eb041330
gene:Zm00001eb041810 gene:Zm00001eb041820
gene:Zm00001eb041810 gene:Zm00001eb041830
gene:Zm00001eb041820 gene:Zm00001eb041830
gene:Zm00001eb042170 gene:Zm00001eb042190
gene:Zm00001eb043520 gene:Zm00001eb043530
gene:Zm00001eb043620 gene:Zm00001eb043630
gene:Zm00001eb043870 gene:Zm00001eb043880
gene:Zm00001eb044190 gene:Zm00001eb044200
gene:Zm00001eb044840 gene:Zm00001eb044860
gene:Zm00001eb044990 gene:Zm00001eb045010
gene:Zm00001eb045010 gene:Zm00001eb045020
gene:Zm00001eb045010 gene:Zm00001eb045030
gene:Zm00001eb045020 gene:Zm00001eb045030
gene:Zm00001eb045020 gene:Zm00001eb045040
gene:Zm00001eb045030 gene:Zm00001eb045040
gene:Zm00001eb045030 gene:Zm00001eb045050
gene:Zm00001eb045040 gene:Zm00001eb045050
gene:Zm00001eb045040 gene:Zm00001eb045060
gene:Zm00001eb045050 gene:Zm00001eb045060
gene:Zm00001eb045050 gene:Zm00001eb045070
gene:Zm00001eb045060 gene:Zm00001eb045070
gene:Zm00001eb045060 gene:Zm00001eb045080
gene:Zm00001eb045070 gene:Zm00001eb045080
gene:Zm00001eb045070 gene:Zm00001eb045090
gene:Zm00001eb045080 gene:Zm00001eb045090
gene:Zm00001eb045080 gene:Zm00001eb045100
gene:Zm00001eb045090 gene:Zm00001eb045100
gene:Zm00001eb045090 gene:Zm00001eb045110
gene:Zm00001eb045100 gene:Zm00001eb045110
gene:Zm00001eb045100 gene:Zm00001eb045120
gene:Zm00001eb045110 gene:Zm00001eb045120
gene:Zm00001eb045110 gene:Zm00001eb045130
gene:Zm00001eb045120 gene:Zm00001eb045130
gene:Zm00001eb045120 gene:Zm00001eb045140
gene:Zm00001eb045130 gene:Zm00001eb045140
gene:Zm00001eb045130 gene:Zm00001eb045150
gene:Zm00001eb045140 gene:Zm00001eb045150
gene:Zm00001eb045140 gene:Zm00001eb045160
gene:Zm00001eb045150 gene:Zm00001eb045160
gene:Zm00001eb045150 gene:Zm00001eb045170
gene:Zm00001eb045160 gene:Zm00001eb045170
gene:Zm00001eb045160 gene:Zm00001eb045180
gene:Zm00001eb045170 gene:Zm00001eb045180
gene:Zm00001eb045750 gene:Zm00001eb045760
gene:Zm00001eb045960 gene:Zm00001eb045990
gene:Zm00001eb045970 gene:Zm00001eb045980
gene:Zm00001eb046170 gene:Zm00001eb046210
gene:Zm00001eb046220 gene:Zm00001eb046250
gene:Zm00001eb046280 gene:Zm00001eb046300
gene:Zm00001eb046600 gene:Zm00001eb046610
gene:Zm00001eb046600 gene:Zm00001eb046630
gene:Zm00001eb046610 gene:Zm00001eb046620
gene:Zm00001eb046610 gene:Zm00001eb046630
gene:Zm00001eb046620 gene:Zm00001eb046630
gene:Zm00001eb046850 gene:Zm00001eb046870
gene:Zm00001eb046980 gene:Zm00001eb046990
gene:Zm00001eb047010 gene:Zm00001eb047020
gene:Zm00001eb047040 gene:Zm00001eb047050
gene:Zm00001eb047250 gene:Zm00001eb047260
gene:Zm00001eb047250 gene:Zm00001eb047270
gene:Zm00001eb047260 gene:Zm00001eb047270
gene:Zm00001eb047360 gene:Zm00001eb047390
gene:Zm00001eb047390 gene:Zm00001eb047400
gene:Zm00001eb047390 gene:Zm00001eb047410
gene:Zm00001eb047400 gene:Zm00001eb047410
gene:Zm00001eb047400 gene:Zm00001eb047420
gene:Zm00001eb047410 gene:Zm00001eb047420
gene:Zm00001eb047790 gene:Zm00001eb047800
gene:Zm00001eb048260 gene:Zm00001eb048270
gene:Zm00001eb048610 gene:Zm00001eb048620
gene:Zm00001eb048770 gene:Zm00001eb048780
gene:Zm00001eb048860 gene:Zm00001eb048870
gene:Zm00001eb048860 gene:Zm00001eb048890
gene:Zm00001eb048870 gene:Zm00001eb048890
gene:Zm00001eb048930 gene:Zm00001eb048940
gene:Zm00001eb048930 gene:Zm00001eb048950
gene:Zm00001eb048940 gene:Zm00001eb048950
gene:Zm00001eb048940 gene:Zm00001eb048960
gene:Zm00001eb048950 gene:Zm00001eb048960
gene:Zm00001eb049400 gene:Zm00001eb049420
gene:Zm00001eb049410 gene:Zm00001eb049460
gene:Zm00001eb049420 gene:Zm00001eb049440
gene:Zm00001eb049440 gene:Zm00001eb049480
gene:Zm00001eb049460 gene:Zm00001eb049470
gene:Zm00001eb049460 gene:Zm00001eb049510
gene:Zm00001eb049470 gene:Zm00001eb049510
gene:Zm00001eb049480 gene:Zm00001eb049520
gene:Zm00001eb049520 gene:Zm00001eb049550
gene:Zm00001eb049630 gene:Zm00001eb049640
gene:Zm00001eb050100 gene:Zm00001eb050110
gene:Zm00001eb050150 gene:Zm00001eb050160
gene:Zm00001eb050150 gene:Zm00001eb050170
gene:Zm00001eb050160 gene:Zm00001eb050170
gene:Zm00001eb050160 gene:Zm00001eb050180
gene:Zm00001eb050170 gene:Zm00001eb050180
gene:Zm00001eb050170 gene:Zm00001eb050200
gene:Zm00001eb050180 gene:Zm00001eb050200
gene:Zm00001eb050250 gene:Zm00001eb050260
gene:Zm00001eb050490 gene:Zm00001eb050500
gene:Zm00001eb050670 gene:Zm00001eb050680
gene:Zm00001eb050700 gene:Zm00001eb050710
gene:Zm00001eb050840 gene:Zm00001eb050850
gene:Zm00001eb051330 gene:Zm00001eb051340
gene:Zm00001eb051330 gene:Zm00001eb051350
gene:Zm00001eb051340 gene:Zm00001eb051350
gene:Zm00001eb051340 gene:Zm00001eb051360
gene:Zm00001eb051360 gene:Zm00001eb051370
gene:Zm00001eb051530 gene:Zm00001eb051560
gene:Zm00001eb051540 gene:Zm00001eb051550
gene:Zm00001eb051630 gene:Zm00001eb051640
gene:Zm00001eb051730 gene:Zm00001eb051740
gene:Zm00001eb051900 gene:Zm00001eb051910
gene:Zm00001eb052150 gene:Zm00001eb052200
gene:Zm00001eb052160 gene:Zm00001eb052180
gene:Zm00001eb052200 gene:Zm00001eb052210
gene:Zm00001eb052350 gene:Zm00001eb052360
gene:Zm00001eb052350 gene:Zm00001eb052370
gene:Zm00001eb052360 gene:Zm00001eb052370
gene:Zm00001eb052360 gene:Zm00001eb052380
gene:Zm00001eb052370 gene:Zm00001eb052380
gene:Zm00001eb052370 gene:Zm00001eb052390
gene:Zm00001eb052380 gene:Zm00001eb052390
gene:Zm00001eb052380 gene:Zm00001eb052400
gene:Zm00001eb052390 gene:Zm00001eb052400
gene:Zm00001eb052390 gene:Zm00001eb052410
gene:Zm00001eb052400 gene:Zm00001eb052410
gene:Zm00001eb052400 gene:Zm00001eb052420
gene:Zm00001eb052410 gene:Zm00001eb052420
gene:Zm00001eb052410 gene:Zm00001eb052430
gene:Zm00001eb052420 gene:Zm00001eb052430
gene:Zm00001eb052570 gene:Zm00001eb052580
gene:Zm00001eb052570 gene:Zm00001eb052590
gene:Zm00001eb052580 gene:Zm00001eb052590
gene:Zm00001eb052580 gene:Zm00001eb052600
gene:Zm00001eb052590 gene:Zm00001eb052600
gene:Zm00001eb052820 gene:Zm00001eb052830
gene:Zm00001eb053040 gene:Zm00001eb053050
gene:Zm00001eb053240 gene:Zm00001eb053260
gene:Zm00001eb053320 gene:Zm00001eb053330
gene:Zm00001eb053550 gene:Zm00001eb053600
gene:Zm00001eb053630 gene:Zm00001eb053680
gene:Zm00001eb053850 gene:Zm00001eb053860
gene:Zm00001eb053920 gene:Zm00001eb053960
gene:Zm00001eb053940 gene:Zm00001eb053960
gene:Zm00001eb054040 gene:Zm00001eb054050
gene:Zm00001eb054230 gene:Zm00001eb054240
gene:Zm00001eb054230 gene:Zm00001eb054250
gene:Zm00001eb054240 gene:Zm00001eb054250
gene:Zm00001eb054540 gene:Zm00001eb054550
gene:Zm00001eb054540 gene:Zm00001eb054580
gene:Zm00001eb054550 gene:Zm00001eb054580
gene:Zm00001eb054600 gene:Zm00001eb054610
gene:Zm00001eb054710 gene:Zm00001eb054730
gene:Zm00001eb055060 gene:Zm00001eb055090
gene:Zm00001eb055400 gene:Zm00001eb055410
gene:Zm00001eb055720 gene:Zm00001eb055730
gene:Zm00001eb055920 gene:Zm00001eb055940
gene:Zm00001eb056180 gene:Zm00001eb056190
gene:Zm00001eb056180 gene:Zm00001eb056200
gene:Zm00001eb056190 gene:Zm00001eb056200
gene:Zm00001eb057230 gene:Zm00001eb057250
gene:Zm00001eb057540 gene:Zm00001eb057560
gene:Zm00001eb057650 gene:Zm00001eb057660
gene:Zm00001eb057650 gene:Zm00001eb057670
gene:Zm00001eb057660 gene:Zm00001eb057670
gene:Zm00001eb057660 gene:Zm00001eb057680
gene:Zm00001eb057670 gene:Zm00001eb057680
gene:Zm00001eb057740 gene:Zm00001eb057750
gene:Zm00001eb057740 gene:Zm00001eb057770
gene:Zm00001eb057750 gene:Zm00001eb057770
gene:Zm00001eb057760 gene:Zm00001eb057780
gene:Zm00001eb057770 gene:Zm00001eb057790
gene:Zm00001eb058050 gene:Zm00001eb058060
gene:Zm00001eb058050 gene:Zm00001eb058070
gene:Zm00001eb058060 gene:Zm00001eb058070
gene:Zm00001eb058060 gene:Zm00001eb058100
gene:Zm00001eb058070 gene:Zm00001eb058100
gene:Zm00001eb058100 gene:Zm00001eb058110
gene:Zm00001eb058250 gene:Zm00001eb058260
gene:Zm00001eb058500 gene:Zm00001eb058520
gene:Zm00001eb058640 gene:Zm00001eb058670
gene:Zm00001eb058830 gene:Zm00001eb058840
gene:Zm00001eb059020 gene:Zm00001eb059030
gene:Zm00001eb059120 gene:Zm00001eb059130
gene:Zm00001eb059480 gene:Zm00001eb059500
gene:Zm00001eb059480 gene:Zm00001eb059540
gene:Zm00001eb059500 gene:Zm00001eb059540
gene:Zm00001eb059660 gene:Zm00001eb059680
gene:Zm00001eb059720 gene:Zm00001eb059740
gene:Zm00001eb060110 gene:Zm00001eb060140
gene:Zm00001eb060220 gene:Zm00001eb060250
gene:Zm00001eb060250 gene:Zm00001eb060260
gene:Zm00001eb060470 gene:Zm00001eb060490
gene:Zm00001eb060500 gene:Zm00001eb060510
gene:Zm00001eb060500 gene:Zm00001eb060530
gene:Zm00001eb060510 gene:Zm00001eb060530
gene:Zm00001eb060800 gene:Zm00001eb060850
gene:Zm00001eb060810 gene:Zm00001eb060860
gene:Zm00001eb060830 gene:Zm00001eb060840
gene:Zm00001eb060830 gene:Zm00001eb060880
gene:Zm00001eb060840 gene:Zm00001eb060880
gene:Zm00001eb060850 gene:Zm00001eb060900
gene:Zm00001eb060860 gene:Zm00001eb060910
gene:Zm00001eb060870 gene:Zm00001eb060920
gene:Zm00001eb060880 gene:Zm00001eb060890
gene:Zm00001eb061080 gene:Zm00001eb061090
gene:Zm00001eb061150 gene:Zm00001eb061160
gene:Zm00001eb061350 gene:Zm00001eb061380
gene:Zm00001eb061480 gene:Zm00001eb061490
gene:Zm00001eb061670 gene:Zm00001eb061680
gene:Zm00001eb061670 gene:Zm00001eb061690
gene:Zm00001eb061680 gene:Zm00001eb061690
gene:Zm00001eb061680 gene:Zm00001eb061700
gene:Zm00001eb061690 gene:Zm00001eb061700
