gene:Zm00001eb023400	gene:SORBI_3001G300500
gene:Zm00001eb022230	gene:SORBI_3001G312900
gene:Zm00001eb022220	gene:SORBI_3001G313000
gene:Zm00001eb022180	gene:SORBI_3001G313100
gene:Zm00001eb022160	gene:SORBI_3001G313301
gene:Zm00001eb022130	gene:SORBI_3001G313400
gene:Zm00001eb022120	gene:SORBI_3001G313500
gene:Zm00001eb022110	gene:SORBI_3001G313600
gene:Zm00001eb022080	gene:SORBI_3001G313700
gene:Zm00001eb022070	gene:SORBI_3001G313800
gene:Zm00001eb022050	gene:SORBI_3001G314000
gene:Zm00001eb022040	gene:SORBI_3001G314200
gene:Zm00001eb022000	gene:SORBI_3001G314500
gene:Zm00001eb021990	gene:SORBI_3001G314800
gene:Zm00001eb021970	gene:SORBI_3001G314900
gene:Zm00001eb021950	gene:SORBI_3001G315000
gene:Zm00001eb021940	gene:SORBI_3001G315100
gene:Zm00001eb021920	gene:SORBI_3001G315200
gene:Zm00001eb021900	gene:SORBI_3001G315400
gene:Zm00001eb021890	gene:SORBI_3001G315500
gene:Zm00001eb021880	gene:SORBI_3001G315800
gene:Zm00001eb021840	gene:SORBI_3001G316000
gene:Zm00001eb021830	gene:SORBI_3001G316100
gene:Zm00001eb021820	gene:SORBI_3001G316200
gene:Zm00001eb021800	gene:SORBI_3001G316300
gene:Zm00001eb021790	gene:SORBI_3001G316400
gene:Zm00001eb021780	gene:SORBI_3001G316500
gene:Zm00001eb021760	gene:SORBI_3001G316700
gene:Zm00001eb021750	gene:SORBI_3001G316900
gene:Zm00001eb021710	gene:SORBI_3001G317300
gene:Zm00001eb021690	gene:SORBI_3001G317400
gene:Zm00001eb021650	gene:SORBI_3001G317600
gene:Zm00001eb021640	gene:SORBI_3001G318200
gene:Zm00001eb021630	gene:SORBI_3001G318300
gene:Zm00001eb021620	gene:SORBI_3001G318600
gene:Zm00001eb021610	gene:SORBI_3001G318700
gene:Zm00001eb021590	gene:SORBI_3001G319500
gene:Zm00001eb021550	gene:SORBI_3001G319900
gene:Zm00001eb021530	gene:SORBI_3001G320000
gene:Zm00001eb021510	gene:SORBI_3001G320200
gene:Zm00001eb021500	gene:SORBI_3001G320300
gene:Zm00001eb021470	gene:SORBI_3001G320400
gene:Zm00001eb021450	gene:SORBI_3001G320500
gene:Zm00001eb021430	gene:SORBI_3001G320900
gene:Zm00001eb021400	gene:SORBI_3001G321200
gene:Zm00001eb021390	gene:SORBI_3001G321400
gene:Zm00001eb021380	gene:SORBI_3001G321500
gene:Zm00001eb021350	gene:SORBI_3001G321800
gene:Zm00001eb021340	gene:SORBI_3001G321900
gene:Zm00001eb021320	gene:SORBI_3001G322000
gene:Zm00001eb021310	gene:SORBI_3001G322100
gene:Zm00001eb021300	gene:SORBI_3001G322300
gene:Zm00001eb021290	gene:SORBI_3001G322400
gene:Zm00001eb021270	gene:SORBI_3001G322500
gene:Zm00001eb021260	gene:SORBI_3001G322600
gene:Zm00001eb021240	gene:SORBI_3001G322700
gene:Zm00001eb021230	gene:SORBI_3001G322832
gene:Zm00001eb021220	gene:SORBI_3001G322900
gene:Zm00001eb021210	gene:SORBI_3001G323000
gene:Zm00001eb021170	gene:SORBI_3001G323400
gene:Zm00001eb021140	gene:SORBI_3001G323600
gene:Zm00001eb021090	gene:SORBI_3001G324100
gene:Zm00001eb021080	gene:SORBI_3001G324300
gene:Zm00001eb021070	gene:SORBI_3001G324400
gene:Zm00001eb021060	gene:SORBI_3001G324600
gene:Zm00001eb021040	gene:SORBI_3001G324800
gene:Zm00001eb021030	gene:SORBI_3001G324900
gene:Zm00001eb021020	gene:SORBI_3001G325200
gene:Zm00001eb020980	gene:SORBI_3001G325600
gene:Zm00001eb020940	gene:SORBI_3001G326000
gene:Zm00001eb020900	gene:SORBI_3001G326200
gene:Zm00001eb020890	gene:SORBI_3001G326400
gene:Zm00001eb020870	gene:SORBI_3001G327700
gene:Zm00001eb020860	gene:SORBI_3001G327800
gene:Zm00001eb020850	gene:SORBI_3001G327900
gene:Zm00001eb020790	gene:SORBI_3001G328100
gene:Zm00001eb020780	gene:SORBI_3001G328200
gene:Zm00001eb020740	gene:SORBI_3001G328500
gene:Zm00001eb020720	gene:SORBI_3001G329001
gene:Zm00001eb020710	gene:SORBI_3001G329100
gene:Zm00001eb020700	gene:SORBI_3001G329200
gene:Zm00001eb020690	gene:SORBI_3001G329300
gene:Zm00001eb020680	gene:SORBI_3001G329800
gene:Zm00001eb020660	gene:SORBI_3001G330000
gene:Zm00001eb020650	gene:SORBI_3001G330200
gene:Zm00001eb020620	gene:SORBI_3001G330300
gene:Zm00001eb020610	gene:SORBI_3001G330400
gene:Zm00001eb020600	gene:SORBI_3001G330500
gene:Zm00001eb020590	gene:SORBI_3001G330700
gene:Zm00001eb020530	gene:SORBI_3001G330925
gene:Zm00001eb020470	gene:SORBI_3001G331800
gene:Zm00001eb020430	gene:SORBI_3001G332200
gene:Zm00001eb020420	gene:SORBI_3001G332300
gene:Zm00001eb020410	gene:SORBI_3001G332400
gene:Zm00001eb020400	gene:SORBI_3001G332500
gene:Zm00001eb020380	gene:SORBI_3001G332700
gene:Zm00001eb020370	gene:SORBI_3001G333100
gene:Zm00001eb020360	gene:SORBI_3001G333200
gene:Zm00001eb020350	gene:SORBI_3001G333300
gene:Zm00001eb020340	gene:SORBI_3001G333400
gene:Zm00001eb020330	gene:SORBI_3001G333500
gene:Zm00001eb020320	gene:SORBI_3001G333600
gene:Zm00001eb020300	gene:SORBI_3001G333700
gene:Zm00001eb020280	gene:SORBI_3001G333800
gene:Zm00001eb020260	gene:SORBI_3001G333900
gene:Zm00001eb020250	gene:SORBI_3001G334100
gene:Zm00001eb020240	gene:SORBI_3001G334200
gene:Zm00001eb020200	gene:SORBI_3001G334300
gene:Zm00001eb020180	gene:SORBI_3001G334600
gene:Zm00001eb020170	gene:SORBI_3001G334900
gene:Zm00001eb020150	gene:SORBI_3001G335000
gene:Zm00001eb020130	gene:SORBI_3001G335300
gene:Zm00001eb020120	gene:SORBI_3001G335400
gene:Zm00001eb020110	gene:SORBI_3001G336050
gene:Zm00001eb020100	gene:SORBI_3001G336200
gene:Zm00001eb020090	gene:SORBI_3001G336500
gene:Zm00001eb020080	gene:SORBI_3001G337500
gene:Zm00001eb020050	gene:SORBI_3001G338100
gene:Zm00001eb020040	gene:SORBI_3001G338400
gene:Zm00001eb020020	gene:SORBI_3001G338500
gene:Zm00001eb019930	gene:SORBI_3001G338600
gene:Zm00001eb019920	gene:SORBI_3001G338700
gene:Zm00001eb019900	gene:SORBI_3001G338800
gene:Zm00001eb019890	gene:SORBI_3001G339100
gene:Zm00001eb019880	gene:SORBI_3001G339300
gene:Zm00001eb019860	gene:SORBI_3001G339400
gene:Zm00001eb019850	gene:SORBI_3001G339500
gene:Zm00001eb019840	gene:SORBI_3001G339600
gene:Zm00001eb019830	gene:SORBI_3001G339801
gene:Zm00001eb019800	gene:SORBI_3001G340000
gene:Zm00001eb019780	gene:SORBI_3001G340200
gene:Zm00001eb019770	gene:SORBI_3001G340300
gene:Zm00001eb019720	gene:SORBI_3001G340600
gene:Zm00001eb019700	gene:SORBI_3001G340700
gene:Zm00001eb019680	gene:SORBI_3001G341100
gene:Zm00001eb019660	gene:SORBI_3001G341200
gene:Zm00001eb019650	gene:SORBI_3001G341300
gene:Zm00001eb019640	gene:SORBI_3001G341400
gene:Zm00001eb019630	gene:SORBI_3001G341500
gene:Zm00001eb019620	gene:SORBI_3001G341600
gene:Zm00001eb019600	gene:SORBI_3001G341700
gene:Zm00001eb019590	gene:SORBI_3001G341800
gene:Zm00001eb019580	gene:SORBI_3001G341900
gene:Zm00001eb019530	gene:SORBI_3001G342600
gene:Zm00001eb019520	gene:SORBI_3001G342900
gene:Zm00001eb019510	gene:SORBI_3001G343000
gene:Zm00001eb019480	gene:SORBI_3001G343832
gene:Zm00001eb019470	gene:SORBI_3001G343900
gene:Zm00001eb019460	gene:SORBI_3001G344000
gene:Zm00001eb019450	gene:SORBI_3001G344300
gene:Zm00001eb019420	gene:SORBI_3001G345100
gene:Zm00001eb019380	gene:SORBI_3001G345300
gene:Zm00001eb019360	gene:SORBI_3001G345700
gene:Zm00001eb019350	gene:SORBI_3001G346300
gene:Zm00001eb019340	gene:SORBI_3001G346500
