gene:Os01g0106300 gene:Os01g0106400
gene:Os01g0152100 gene:Os01g0152200
gene:Os01g0152300 gene:Os01g0152700
gene:Os01g0152600 gene:Os01g0152687
gene:Os01g0152600 gene:Os01g0152800
gene:Os01g0152687 gene:Os01g0152800
gene:Os01g0152700 gene:Os01g0152900
gene:Os01g0152800 gene:Os01g0153000
gene:Os01g0152900 gene:Os01g0153100
gene:Os01g0153100 gene:Os01g0153300
gene:Os01g0153500 gene:Os01g0153600
gene:Os01g0153550 gene:Os01g0153625
gene:Os01g0153600 gene:Os01g0153900
gene:Os01g0153900 gene:Os01g0153950
gene:Os01g0153900 gene:Os01g0154100
gene:Os01g0153950 gene:Os01g0154100
gene:Os01g0154100 gene:Os01g0154200
gene:Os01g0154100 gene:Os01g0154500
gene:Os01g0154200 gene:Os01g0154500
gene:Os01g0154500 gene:Os01g0154600
gene:Os01g0160200 gene:Os01g0160700
gene:Os01g0160200 gene:Os01g0161000
gene:Os01g0160700 gene:Os01g0161000
gene:Os01g0161000 gene:Os01g0161300
gene:Os01g0161300 gene:Os01g0162200
gene:Os01g0162200 gene:Os01g0162500
gene:Os01g0162300 gene:Os01g0162800
gene:Os01g0162500 gene:Os01g0162800
gene:Os01g0162500 gene:Os01g0163000
gene:Os01g0162800 gene:Os01g0163000
gene:Os01g0164075 gene:Os01g0164300
gene:Os01g0166100 gene:Os01g0166300
gene:Os01g0167900 gene:Os01g0168100
gene:Os01g0175600 gene:Os01g0175700
gene:Os01g0175633 gene:Os01g0175733
gene:Os01g0175850 gene:Os01g0176000
gene:Os01g0175850 gene:Os01g0176100
gene:Os01g0176000 gene:Os01g0176100
gene:Os01g0176050 gene:Os01g0176150
gene:Os01g0176100 gene:Os01g0176200
gene:Os01g0188900 gene:Os01g0189100
gene:Os01g0189100 gene:Os01g0189700
gene:Os01g0195801 gene:Os01g0196300
gene:Os01g0197900 gene:Os01g0198000
gene:Os01g0201800 gene:Os01g0201900
gene:Os01g0206300 gene:Os01g0206700
gene:Os01g0207200 gene:Os01g0207400
gene:Os01g0207400 gene:Os01g0207600
gene:Os01g0207600 gene:Os01g0208400
gene:Os01g0207700 gene:Os01g0207900
gene:Os01g0207700 gene:Os01g0208000
gene:Os01g0207900 gene:Os01g0208000
gene:Os01g0210900 gene:Os01g0211000
gene:Os01g0210900 gene:Os01g0211200
gene:Os01g0211000 gene:Os01g0211200
gene:Os01g0211000 gene:Os01g0211600
gene:Os01g0211200 gene:Os01g0211600
gene:Os01g0212700 gene:Os01g0213100
gene:Os01g0213100 gene:Os01g0213400
gene:Os01g0214600 gene:Os01g0214800
gene:Os01g0214600 gene:Os01g0215000
gene:Os01g0214800 gene:Os01g0215000
gene:Os01g0215000 gene:Os01g0215500
gene:Os01g0215500 gene:Os01g0215700
gene:Os01g0215500 gene:Os01g0216000
gene:Os01g0215700 gene:Os01g0216000
gene:Os01g0216000 gene:Os01g0216300
gene:Os01g0216150 gene:Os01g0216350
gene:Os01g0216300 gene:Os01g0216400
gene:Os01g0216400 gene:Os01g0216500
gene:Os01g0216400 gene:Os01g0216900
gene:Os01g0216500 gene:Os01g0216900
gene:Os01g0217500 gene:Os01g0217800
gene:Os01g0218800 gene:Os01g0218900
gene:Os01g0219600 gene:Os01g0220100
gene:Os01g0223000 gene:Os01g0223200
gene:Os01g0223000 gene:Os01g0223500
gene:Os01g0223200 gene:Os01g0223500
gene:Os01g0223700 gene:Os01g0223800
gene:Os01g0223700 gene:Os01g0223900
gene:Os01g0223800 gene:Os01g0223900
gene:Os01g0223800 gene:Os01g0224000
gene:Os01g0223900 gene:Os01g0224000
gene:Os01g0225400 gene:Os01g0225500
gene:Os01g0227400 gene:Os01g0227500
gene:Os01g0227400 gene:Os01g0227700
gene:Os01g0227500 gene:Os01g0227700
gene:Os01g0227500 gene:Os01g0227800
gene:Os01g0227700 gene:Os01g0227800
gene:Os01g0231800 gene:Os01g0231900
gene:Os01g0232000 gene:Os01g0232100
gene:Os01g0233100 gene:Os01g0233500
gene:Os01g0237366 gene:Os01g0237750
gene:Os01g0240600 gene:Os01g0240700
gene:Os01g0244000 gene:Os01g0245532
gene:Os01g0244150 gene:Os01g0244400
gene:Os01g0244150 gene:Os01g0245532
gene:Os01g0244400 gene:Os01g0245532
gene:Os01g0245532 gene:Os01g0245700
gene:Os01g0245700 gene:Os01g0245901
gene:Os01g0248300 gene:Os01g0248500
gene:Os01g0248900 gene:Os01g0249100
gene:Os01g0249700 gene:Os01g0249800
gene:Os01g0254400 gene:Os01g0254850
gene:Os01g0255000 gene:Os01g0255100
gene:Os01g0257400 gene:Os01g0258700
gene:Os01g0260950 gene:Os01g0261100
gene:Os01g0261600 gene:Os01g0261700
gene:Os01g0261600 gene:Os01g0262000
gene:Os01g0261700 gene:Os01g0262000
gene:Os01g0263000 gene:Os01g0263300
gene:Os01g0273800 gene:Os01g0274100
gene:Os01g0273850 gene:Os01g0274201
gene:Os01g0275200 gene:Os01g0275600
gene:Os01g0275500 gene:Os01g0275600
gene:Os01g0283600 gene:Os01g0283700
gene:Os01g0288800 gene:Os01g0289100
gene:Os01g0290100 gene:Os01g0290600
gene:Os01g0293900 gene:Os01g0294500
gene:Os01g0293900 gene:Os01g0294700
gene:Os01g0294500 gene:Os01g0294700
gene:Os01g0296900 gene:Os01g0297700
gene:Os01g0299700 gene:Os01g0300000
gene:Os01g0301000 gene:Os01g0301500
gene:Os01g0310500 gene:Os01g0310800
gene:Os01g0311800 gene:Os01g0312500
gene:Os01g0317500 gene:Os01g0317800
gene:Os01g0317800 gene:Os01g0318000
gene:Os01g0319200 gene:Os01g0319400
gene:Os01g0326000 gene:Os01g0326100
gene:Os01g0326000 gene:Os01g0326300
gene:Os01g0326100 gene:Os01g0327000
gene:Os01g0326300 gene:Os01g0327100
gene:Os01g0327000 gene:Os01g0327100
gene:Os01g0327000 gene:Os01g0327400
gene:Os01g0327100 gene:Os01g0327400
gene:Os01g0327900 gene:Os01g0328300
gene:Os01g0329900 gene:Os01g0330100
gene:Os01g0329900 gene:Os01g0331100
gene:Os01g0330100 gene:Os01g0331100
gene:Os01g0332500 gene:Os01g0332800
gene:Os01g0333600 gene:Os01g0335600
gene:Os01g0333600 gene:Os01g0336300
gene:Os01g0335600 gene:Os01g0336300
gene:Os01g0340100 gene:Os01g0340400
gene:Os01g0340600 gene:Os01g0341000
gene:Os01g0340600 gene:Os01g0341200
gene:Os01g0341000 gene:Os01g0341200
gene:Os01g0347500 gene:Os01g0348000
gene:Os01g0348800 gene:Os01g0348900
gene:Os01g0351100 gene:Os01g0351200
gene:Os01g0351800 gene:Os01g0352100
gene:Os01g0357100 gene:Os01g0357500
gene:Os01g0357900 gene:Os01g0358100
gene:Os01g0358700 gene:Os01g0359400
gene:Os01g0359400 gene:Os01g0359600
gene:Os01g0359400 gene:Os01g0359800
gene:Os01g0359600 gene:Os01g0359800
gene:Os01g0361500 gene:Os01g0362100
gene:Os01g0361700 gene:Os01g0362100
gene:Os01g0364100 gene:Os01g0364800
gene:Os01g0364400 gene:Os01g0365000
gene:Os01g0367100 gene:Os01g0367400
gene:Os01g0368500 gene:Os01g0368700
gene:Os01g0369000 gene:Os01g0369200
gene:Os01g0369700 gene:Os01g0370200
gene:Os01g0369900 gene:Os01g0370000
gene:Os01g0370200 gene:Os01g0370600
gene:Os01g0370600 gene:Os01g0370900
gene:Os01g0370600 gene:Os01g0371200
gene:Os01g0370900 gene:Os01g0371200
gene:Os01g0370900 gene:Os01g0371400
gene:Os01g0371200 gene:Os01g0371400
gene:Os01g0371400 gene:Os01g0371500
gene:Os01g0371400 gene:Os01g0372400
gene:Os01g0371500 gene:Os01g0372400
gene:Os01g0375200 gene:Os01g0375500
gene:Os01g0379400 gene:Os01g0380800
gene:Os01g0382000 gene:Os01g0382400
gene:Os01g0388700 gene:Os01g0389200
gene:Os01g0388700 gene:Os01g0389700
gene:Os01g0389200 gene:Os01g0389700
gene:Os01g0516200 gene:Os01g0516600
gene:Os01g0517800 gene:Os01g0518000
gene:Os01g0522400 gene:Os01g0522800
gene:Os01g0522400 gene:Os01g0522950
gene:Os01g0525700 gene:Os01g0525701
gene:Os01g0533000 gene:Os01g0533500
gene:Os01g0533900 gene:Os01g0534700
gene:Os01g0535100 gene:Os01g0535300
gene:Os01g0538000 gene:Os01g0539900
gene:Os01g0543600 gene:Os01g0544200
gene:Os01g0546100 gene:Os01g0546400
gene:Os01g0549700 gene:Os01g0550000
gene:Os01g0550800 gene:Os01g0550900
gene:Os01g0557100 gene:Os01g0557200
gene:Os01g0562400 gene:Os01g0563000
gene:Os01g0563000 gene:Os01g0564300
gene:Os01g0567500 gene:Os01g0567600
gene:Os01g0574400 gene:Os01g0574500
gene:Os01g0574451 gene:Os01g0574550
gene:Os01g0575701 gene:Os01g0576100
gene:Os01g0576100 gene:Os01g0577300
gene:Os01g0576000 gene:Os01g0576050
gene:Os01g0579900 gene:Os01g0580000
gene:Os01g0583200 gene:Os01g0583300
gene:Os01g0585700 gene:Os01g0586000
gene:Os01g0588100 gene:Os01g0588400
gene:Os01g0588600 gene:Os01g0588700
gene:Os01g0590100 gene:Os01g0590200
gene:Os01g0590200 gene:Os01g0590800
gene:Os01g0591000 gene:Os01g0591300
gene:Os01g0595700 gene:Os01g0595800
gene:Os01g0595725 gene:Os01g0596001
gene:Os01g0595800 gene:Os01g0595900
gene:Os01g0595800 gene:Os01g0596100
gene:Os01g0595900 gene:Os01g0596100
gene:Os01g0596001 gene:Os01g0596425
gene:Os01g0596100 gene:Os01g0596300
gene:Os01g0596300 gene:Os01g0596600
gene:Os01g0597400 gene:Os01g0597600
gene:Os01g0597800 gene:Os01g0598000
gene:Os01g0601625 gene:Os01g0601675
gene:Os01g0601675 gene:Os01g0601700
gene:Os01g0602200 gene:Os01g0602400
gene:Os01g0602200 gene:Os01g0602500
gene:Os01g0602400 gene:Os01g0602500
gene:Os01g0603800 gene:Os01g0604150
gene:Os01g0605700 gene:Os01g0606000
gene:Os01g0607400 gene:Os01g0607600
gene:Os01g0609000 gene:Os01g0609200
gene:Os01g0609000 gene:Os01g0609300
gene:Os01g0609200 gene:Os01g0609300
gene:Os01g0609200 gene:Os01g0609900
gene:Os01g0609300 gene:Os01g0609900
gene:Os01g0613500 gene:Os01g0613800
gene:Os01g0615050 gene:Os01g0615100
gene:Os01g0615200 gene:Os01g0615300
gene:Os01g0618400 gene:Os01g0618500
gene:Os01g0619100 gene:Os01g0619900
gene:Os01g0627400 gene:Os01g0627500
gene:Os01g0627500 gene:Os01g0627600
gene:Os01g0627600 gene:Os01g0627800
gene:Os01g0627701 gene:Os01g0627916
gene:Os01g0627800 gene:Os01g0627900
gene:Os01g0627916 gene:Os01g0627967
gene:Os01g0627900 gene:Os01g0627933
gene:Os01g0627900 gene:Os01g0628000
gene:Os01g0627933 gene:Os01g0628000
gene:Os01g0628000 gene:Os01g0628700
gene:Os01g0628000 gene:Os01g0628900
gene:Os01g0628700 gene:Os01g0628900
gene:Os01g0635000 gene:Os01g0635200
gene:Os01g0636500 gene:Os01g0637500
gene:Os01g0636600 gene:Os01g0637600
gene:Os01g0638000 gene:Os01g0638600
gene:Os01g0639900 gene:Os01g0640000
gene:Os01g0640200 gene:Os01g0640700
gene:Os01g0649200 gene:Os01g0649400
gene:Os01g0649200 gene:Os01g0649900
gene:Os01g0649400 gene:Os01g0649900
gene:Os01g0649732 gene:Os01g0649950
gene:Os01g0649900 gene:Os01g0650000
gene:Os01g0650000 gene:Os01g0650200
gene:Os01g0650200 gene:Os01g0650900
gene:Os01g0650900 gene:Os01g0651000
gene:Os01g0651000 gene:Os01g0651300
gene:Os01g0652800 gene:Os01g0653100
gene:Os01g0653350 gene:Os01g0653800
gene:Os01g0660500 gene:Os01g0660800
gene:Os01g0668400 gene:Os01g0668600
gene:Os01g0668600 gene:Os01g0668901
gene:Os01g0668600 gene:Os01g0669100
gene:Os01g0668901 gene:Os01g0669100
gene:Os01g0669100 gene:Os01g0670100
gene:Os01g0669100 gene:Os01g0670300
gene:Os01g0670100 gene:Os01g0670300
gene:Os01g0670100 gene:Os01g0670600
gene:Os01g0670300 gene:Os01g0670600
gene:Os01g0677900 gene:Os01g0678000
gene:Os01g0677900 gene:Os01g0678100
gene:Os01g0678000 gene:Os01g0678100
gene:Os01g0678100 gene:Os01g0678400
gene:Os01g0681700 gene:Os01g0681800
gene:Os01g0686200 gene:Os01g0686300
gene:Os01g0688600 gene:Os01g0689000
gene:Os01g0690600 gene:Os01g0690800
gene:Os01g0690600 gene:Os01g0690900
gene:Os01g0690800 gene:Os01g0690900
gene:Os01g0690800 gene:Os01g0691050
gene:Os01g0692000 gene:Os01g0692100
gene:Os01g0695700 gene:Os01g0695800
gene:Os01g0699100 gene:Os01g0699400
gene:Os01g0699100 gene:Os01g0699500
gene:Os01g0699400 gene:Os01g0699500
gene:Os01g0699400 gene:Os01g0699600
gene:Os01g0699500 gene:Os01g0699600
gene:Os01g0700900 gene:Os01g0701400
gene:Os01g0701100 gene:Os01g0701350
gene:Os01g0701400 gene:Os01g0701500
gene:Os01g0717400 gene:Os01g0717700
gene:Os01g0717601 gene:Os01g0718000
gene:Os01g0720800 gene:Os01g0720900
gene:Os01g0720800 gene:Os01g0721000
gene:Os01g0720900 gene:Os01g0721000
gene:Os01g0721000 gene:Os01g0721200
gene:Os01g0721100 gene:Os01g0721200
gene:Os01g0721100 gene:Os01g0721300
gene:Os01g0721200 gene:Os01g0721300
gene:Os01g0721200 gene:Os01g0721400
gene:Os01g0721300 gene:Os01g0721400
gene:Os01g0721300 gene:Os01g0721500
gene:Os01g0721400 gene:Os01g0721500
gene:Os01g0721400 gene:Os01g0721800
gene:Os01g0721500 gene:Os01g0721800
gene:Os01g0723500 gene:Os01g0723700
gene:Os01g0727500 gene:Os01g0727700
gene:Os01g0728300 gene:Os01g0728350
gene:Os01g0730100 gene:Os01g0730200
gene:Os01g0731100 gene:Os01g0731600
gene:Os01g0734600 gene:Os01g0734800
gene:Os01g0734600 gene:Os01g0735300
gene:Os01g0734800 gene:Os01g0735300
gene:Os01g0734800 gene:Os01g0735900
gene:Os01g0735300 gene:Os01g0735500
gene:Os01g0735300 gene:Os01g0735900
gene:Os01g0735900 gene:Os01g0736100
gene:Os01g0736100 gene:Os01g0736300
gene:Os01g0737600 gene:Os01g0737700
gene:Os01g0740500 gene:Os01g0740650
gene:Os01g0744700 gene:Os01g0745000
gene:Os01g0759200 gene:Os01g0759400
gene:Os01g0761400 gene:Os01g0761500
gene:Os01g0761800 gene:Os01g0762500
gene:Os01g0770000 gene:Os01g0770100
gene:Os01g0770700 gene:Os01g0770800
gene:Os01g0777400 gene:Os01g0777600
gene:Os01g0777450 gene:Os01g0777650
gene:Os01g0778800 gene:Os01g0779100
gene:Os01g0778900 gene:Os01g0779201
gene:Os01g0781100 gene:Os01g0781200
gene:Os01g0781100 gene:Os01g0781700
gene:Os01g0781200 gene:Os01g0781700
gene:Os01g0781600 gene:Os01g0781833
gene:Os01g0781700 gene:Os01g0782100
gene:Os01g0783800 gene:Os01g0783900
gene:Os01g0783900 gene:Os01g0784200
gene:Os01g0784200 gene:Os01g0784500
gene:Os01g0784101 gene:Os01g0784450
gene:Os01g0784500 gene:Os01g0784700
gene:Os01g0786700 gene:Os01g0786800
gene:Os01g0793100 gene:Os01g0793300
gene:Os01g0793500 gene:Os01g0793600
gene:Os01g0793800 gene:Os01g0793900
gene:Os01g0793800 gene:Os01g0794100
gene:Os01g0793900 gene:Os01g0794100
gene:Os01g0794800 gene:Os01g0795000
gene:Os01g0795000 gene:Os01g0795100
gene:Os01g0795100 gene:Os01g0795200
gene:Os01g0795100 gene:Os01g0795400
gene:Os01g0795200 gene:Os01g0795400
gene:Os01g0795600 gene:Os01g0795832
gene:Os01g0795600 gene:Os01g0795900
gene:Os01g0795832 gene:Os01g0795900
gene:Os01g0800800 gene:Os01g0800900
gene:Os01g0801000 gene:Os01g0801100
gene:Os01g0803800 gene:Os01g0803900
gene:Os01g0803800 gene:Os01g0804200
gene:Os01g0803900 gene:Os01g0804200
gene:Os01g0803900 gene:Os01g0804400
gene:Os01g0804200 gene:Os01g0804400
gene:Os01g0804400 gene:Os01g0804900
gene:Os01g0805400 gene:Os01g0805500
gene:Os01g0810500 gene:Os01g0810600
gene:Os01g0810500 gene:Os01g0810800
gene:Os01g0810600 gene:Os01g0810800
gene:Os01g0810800 gene:Os01g0811001
gene:Os01g0813700 gene:Os01g0813800
gene:Os01g0816400 gene:Os01g0816500
gene:Os01g0819200 gene:Os01g0819300
gene:Os01g0819400 gene:Os01g0819500
gene:Os01g0820400 gene:Os01g0820700
gene:Os01g0820700 gene:Os01g0821300
gene:Os01g0825166 gene:Os01g0825332
gene:Os01g0827500 gene:Os01g0827600
gene:Os01g0831250 gene:Os01g0831950
gene:Os01g0831300 gene:Os01g0831900
gene:Os01g0833150 gene:Os01g0833200
gene:Os01g0834500 gene:Os01g0834600
gene:Os01g0836700 gene:Os01g0836800
gene:Os01g0842400 gene:Os01g0842500
gene:Os01g0846450 gene:Os01g0846500
gene:Os01g0847600 gene:Os01g0847700
gene:Os01g0847600 gene:Os01g0847800
gene:Os01g0847700 gene:Os01g0847800
gene:Os01g0850550 gene:Os01g0850700
gene:Os01g0850550 gene:Os01g0850800
gene:Os01g0850700 gene:Os01g0850800
gene:Os01g0860400 gene:Os01g0860500
gene:Os01g0864300 gene:Os01g0864500
gene:Os01g0868800 gene:Os01g0868900
gene:Os01g0870400 gene:Os01g0870500
gene:Os01g0870400 gene:Os01g0871000
gene:Os01g0870500 gene:Os01g0871000
gene:Os01g0871500 gene:Os01g0871600
gene:Os01g0871500 gene:Os01g0871700
gene:Os01g0871600 gene:Os01g0871700
gene:Os01g0871600 gene:Os01g0871900
gene:Os01g0871700 gene:Os01g0871800
gene:Os01g0871800 gene:Os01g0872000
gene:Os01g0871900 gene:Os01g0872000
gene:Os01g0871900 gene:Os01g0872100
gene:Os01g0872000 gene:Os01g0872100
gene:Os01g0872000 gene:Os01g0872300
gene:Os01g0872100 gene:Os01g0872300
gene:Os01g0872300 gene:Os01g0872500
gene:Os01g0872400 gene:Os01g0872450
gene:Os01g0872400 gene:Os01g0872500
gene:Os01g0872450 gene:Os01g0872500
gene:Os01g0872500 gene:Os01g0872600
gene:Os01g0878400 gene:Os01g0878700
gene:Os01g0878800 gene:Os01g0878900
gene:Os01g0879200 gene:Os01g0879300
gene:Os01g0889900 gene:Os01g0890100
gene:Os01g0890100 gene:Os01g0890200
gene:Os01g0890200 gene:Os01g0890600
gene:Os01g0890400 gene:Os01g0890500
gene:Os01g0891601 gene:Os01g0891700
gene:Os01g0891601 gene:Os01g0892300
gene:Os01g0891700 gene:Os01g0892300
gene:Os01g0892500 gene:Os01g0892600
gene:Os01g0895200 gene:Os01g0895300
gene:Os01g0896700 gene:Os01g0896800
gene:Os01g0897200 gene:Os01g0897300
gene:Os01g0899275 gene:Os01g0899350
gene:Os01g0900400 gene:Os01g0900700
gene:Os01g0901500 gene:Os01g0901600
gene:Os01g0902700 gene:Os01g0902800
gene:Os01g0905200 gene:Os01g0905300
gene:Os01g0915200 gene:Os01g0915401
gene:Os01g0918200 gene:Os01g0918300
gene:Os01g0920700 gene:Os01g0920500
gene:Os01g0920500 gene:Os01g0921000
gene:Os01g0920800 gene:Os01g0921000
gene:Os01g0920800 gene:Os01g0921100
gene:Os01g0921000 gene:Os01g0921100
gene:Os01g0926400 gene:Os01g0926600
gene:Os01g0926600 gene:Os01g0926700
gene:Os01g0928600 gene:Os01g0928700
gene:Os01g0928600 gene:Os01g0928800
gene:Os01g0928700 gene:Os01g0928800
gene:Os01g0930900 gene:Os01g0931000
gene:Os01g0931600 gene:Os01g0931700
gene:Os01g0934600 gene:Os01g0934700
gene:Os01g0934700 gene:Os01g0934800
gene:Os01g0934700 gene:Os01g0934900
gene:Os01g0934800 gene:Os01g0934900
gene:Os01g0936900 gene:Os01g0937000
gene:Os01g0937000 gene:Os01g0937050
gene:Os01g0937050 gene:Os01g0937100
gene:Os01g0937100 gene:Os01g0937200
gene:Os01g0937100 gene:Os01g0937500
gene:Os01g0937500 gene:Os01g0937600
gene:Os01g0937500 gene:Os01g0937800
gene:Os01g0937600 gene:Os01g0937800
gene:Os01g0940700 gene:Os01g0940800
gene:Os01g0940700 gene:Os01g0941200
gene:Os01g0940800 gene:Os01g0941200
gene:Os01g0940800 gene:Os01g0941500
gene:Os01g0941200 gene:Os01g0941500
gene:Os01g0941200 gene:Os01g0942300
gene:Os01g0941500 gene:Os01g0942300
gene:Os01g0942900 gene:Os01g0943800
gene:Os01g0943000 gene:Os01g0943900
gene:Os01g0944500 gene:Os01g0944700
gene:Os01g0944500 gene:Os01g0944800
gene:Os01g0944700 gene:Os01g0944800
gene:Os01g0945100 gene:Os01g0945200
gene:Os01g0945200 gene:Os01g0945300
gene:Os01g0945250 gene:Os01g0945666
gene:Os01g0945300 gene:Os01g0945600
gene:Os01g0945400 gene:Os01g0945650
gene:Os01g0945600 gene:Os01g0945700
gene:Os01g0946500 gene:Os01g0946700
gene:Os01g0946700 gene:Os01g0947000
gene:Os01g0947000 gene:Os01g0947700
gene:Os01g0949700 gene:Os01g0949750
gene:Os01g0949700 gene:Os01g0949800
gene:Os01g0949750 gene:Os01g0949800
gene:Os01g0949750 gene:Os01g0950000
gene:Os01g0949800 gene:Os01g0950000
gene:Os01g0951200 gene:Os01g0951400
gene:Os01g0952000 gene:Os01g0952100
gene:Os01g0953600 gene:Os01g0954000
gene:Os01g0955100 gene:Os01g0955400
gene:Os01g0955100 gene:Os01g0955500
gene:Os01g0955400 gene:Os01g0955500
gene:Os01g0957600 gene:Os01g0957800
gene:Os01g0962700 gene:Os01g0962900
gene:Os01g0962700 gene:Os01g0963000
gene:Os01g0962900 gene:Os01g0963000
gene:Os01g0968100 gene:Os01g0968200
gene:Os01g0968100 gene:Os01g0968300
gene:Os01g0968200 gene:Os01g0968300
gene:Os01g0968300 gene:Os01g0968400
gene:Os10g0101100 gene:Os10g0101200
gene:Os10g0105800 gene:Os10g0105900
gene:Os10g0105850 gene:Os10g0105900
gene:Os10g0105850 gene:Os10g0105933
gene:Os10g0105900 gene:Os10g0106600
gene:Os10g0105933 gene:Os10g0106600
gene:Os10g0106600 gene:Os10g0108700
gene:Os10g0107200 gene:Os10g0109066
gene:Os10g0108700 gene:Os10g0108800
gene:Os10g0109300 gene:Os10g0109600
gene:Os10g0109700 gene:Os10g0109900
gene:Os10g0109900 gene:Os10g0110600
gene:Os10g0110250 gene:Os10g0111300
gene:Os10g0110425 gene:Os10g0111325
gene:Os10g0110600 gene:Os10g0111300
gene:Os10g0110800 gene:Os10g0111300
gene:Os10g0111300 gene:Os10g0111700
gene:Os10g0111400 gene:Os10g0111900
gene:Os10g0111700 gene:Os10g0112500
gene:Os10g0111900 gene:Os10g0112700
gene:Os10g0113000 gene:Os10g0113100
gene:Os10g0113050 gene:Os10g0113201
gene:Os10g0113100 gene:Os10g0113375
gene:Os10g0113375 gene:Os10g0113900
gene:Os10g0113723 gene:Os10g0113900
gene:Os10g0113723 gene:Os10g0114300
gene:Os10g0113900 gene:Os10g0114300
gene:Os10g0114500 gene:Os10g0115200
gene:Os10g0114500 gene:Os10g0115500
gene:Os10g0115200 gene:Os10g0115500
