Pgi01A00000100 Pgi01A00000110
Pgi01A00006890 Pgi01A00006920
Pgi01A00006900 Pgi01A00006910
Pgi01A00006900 Pgi01A00006940
Pgi01A00006910 Pgi01A00006920
Pgi01A00006910 Pgi01A00006930
Pgi01A00006920 Pgi01A00006930
Pgi01A00006920 Pgi01A00006940
Pgi01A00006930 Pgi01A00006940
Pgi01A00006930 Pgi01A00006970
Pgi01A00006970 Pgi01A00007000
Pgi01A00007000 Pgi01A00007010
Pgi01A00007000 Pgi01A00007020
Pgi01A00007010 Pgi01A00007030
Pgi01A00007020 Pgi01A00007030
Pgi01A00007020 Pgi01A00007050
Pgi01A00007030 Pgi01A00007040
Pgi01A00007030 Pgi01A00007050
Pgi01A00007040 Pgi01A00007060
Pgi01A00007050 Pgi01A00007060
Pgi01A00007050 Pgi01A00007090
Pgi01A00007060 Pgi01A00007090
Pgi01A00007090 Pgi01A00007100
Pgi01A00007090 Pgi01A00007130
Pgi01A00007100 Pgi01A00007110
Pgi01A00007100 Pgi01A00007130
Pgi01A00007110 Pgi01A00007130
Pgi01A00007130 Pgi01A00007140
Pgi01A00007130 Pgi01A00007150
Pgi01A00007140 Pgi01A00007150
Pgi01A00007140 Pgi01A00007170
Pgi01A00007150 Pgi01A00007170
Pgi01A00007170 Pgi01A00007180
Pgi01A00007170 Pgi01A00007210
Pgi01A00007180 Pgi01A00007210
Pgi01A00007190 Pgi01A00007220
Pgi01A00007230 Pgi01A00007240
Pgi01A00007230 Pgi01A00007250
Pgi01A00007240 Pgi01A00007250
Pgi01A00007240 Pgi01A00007260
Pgi01A00007250 Pgi01A00007260
Pgi01A00007250 Pgi01A00007280
Pgi01A00007260 Pgi01A00007280
Pgi01A00007310 Pgi01A00007360
Pgi01A00007360 Pgi01A00007400
Pgi01A00007400 Pgi01A00007420
Pgi01A00007420 Pgi01A00007430
Pgi01A00007450 Pgi01A00007470
Pgi01A00007480 Pgi01A00007500
Pgi01A00007560 Pgi01A00007580
Pgi01A00007570 Pgi01A00007590
Pgi01A00007630 Pgi01A00007650
Pgi01A00007640 Pgi01A00007660
Pgi01A00007650 Pgi01A00007670
Pgi01A00007660 Pgi01A00007680
Pgi01A00007670 Pgi01A00007700
Pgi01A00007700 Pgi01A00007710
Pgi01A00007770 Pgi01A00007780
Pgi01A00007770 Pgi01A00007790
Pgi01A00007780 Pgi01A00007790
Pgi01A00007820 Pgi01A00007850
Pgi01A00007830 Pgi01A00007870
Pgi01A00007860 Pgi01A00007910
Pgi01A00007880 Pgi01A00007890
Pgi01A00007910 Pgi01A00007930
Pgi01A00007950 Pgi01A00007960
Pgi01A00007980 Pgi01A00007990
Pgi01A00007980 Pgi01A00008020
Pgi01A00007990 Pgi01A00008020
Pgi01A00008030 Pgi01A00008070
Pgi01A00008040 Pgi01A00008080
Pgi01A00008050 Pgi01A00008090
Pgi01A00008080 Pgi01A00008110
Pgi01A00008110 Pgi01A00008140
Pgi01A00008140 Pgi01A00008150
Pgi01A00008140 Pgi01A00008160
Pgi01A00008150 Pgi01A00008160
Pgi01A00008180 Pgi01A00008190
Pgi01A00008180 Pgi01A00008200
Pgi01A00008230 Pgi01A00008240
Pgi01A00008230 Pgi01A00008250
Pgi01A00008240 Pgi01A00008250
Pgi01A00008240 Pgi01A00008260
Pgi01A00008250 Pgi01A00008260
Pgi01A00008280 Pgi01A00008320
Pgi01A00008390 Pgi01A00008400
Pgi01A00008390 Pgi01A00008420
Pgi01A00008400 Pgi01A00008420
Pgi01A00008420 Pgi01A00008440
Pgi01A00008440 Pgi01A00008450
Pgi01A00008440 Pgi01A00008460
Pgi01A00008550 Pgi01A00008560
Pgi01A00008570 Pgi01A00008580
Pgi01A00008670 Pgi01A00008680
Pgi01A00008690 Pgi01A00008710
Pgi01A00008700 Pgi01A00008720
Pgi01A00008740 Pgi01A00008780
Pgi01A00008860 Pgi01A00008870
Pgi01A00008880 Pgi01A00008920
Pgi01A00008940 Pgi01A00008990
Pgi01A00008950 Pgi01A00009000
Pgi01A00008960 Pgi01A00009010
Pgi01A00008970 Pgi01A00009020
Pgi01A00008980 Pgi01A00009030
Pgi01A00009000 Pgi01A00009040
Pgi01A00009050 Pgi01A00009100
Pgi01A00009060 Pgi01A00009100
Pgi01A00009090 Pgi01A00009110
Pgi01A00009100 Pgi01A00009120
Pgi01A00009150 Pgi01A00009160
Pgi01A00009180 Pgi01A00009190
Pgi01A00009470 Pgi01A00009480
Pgi01A00009470 Pgi01A00009510
Pgi01A00009480 Pgi01A00009510
Pgi01A00009490 Pgi01A00009500
Pgi01A00009490 Pgi01A00009510
Pgi01A00009500 Pgi01A00009510
Pgi01A00009590 Pgi01A00009630
Pgi01A00009600 Pgi01A00009640
Pgi01A00009610 Pgi01A00009650
Pgi01A00009680 Pgi01A00009700
Pgi01A00009710 Pgi01A00009730
Pgi01A00009730 Pgi01A00009740
Pgi01A00009730 Pgi01A00009760
Pgi01A00009740 Pgi01A00009760
Pgi01A00009760 Pgi01A00009770
Pgi01A00009760 Pgi01A00009780
Pgi01A00009770 Pgi01A00009780
Pgi01A00009770 Pgi01A00009790
Pgi01A00009780 Pgi01A00009790
Pgi01A00009780 Pgi01A00009800
Pgi01A00009790 Pgi01A00009800
Pgi01A00009790 Pgi01A00009820
Pgi01A00009800 Pgi01A00009830
Pgi01A00009810 Pgi01A00009860
Pgi01A00009820 Pgi01A00009830
Pgi01A00009820 Pgi01A00009870
Pgi01A00009830 Pgi01A00009870
Pgi01A00009870 Pgi01A00009880
Pgi01A00009880 Pgi01A00009920
Pgi01A00009950 Pgi01A00009990
Pgi01A00009960 Pgi01A00010000
Pgi01A00009970 Pgi01A00010010
Pgi01A00009980 Pgi01A00010020
Pgi01A00010020 Pgi01A00010070
Pgi01A00010150 Pgi01A00010170
Pgi01A00010350 Pgi01A00010360
Pgi01A00010370 Pgi01A00010390
Pgi01A00010400 Pgi01A00010420
Pgi01A00010420 Pgi01A00010430
Pgi01A00010420 Pgi01A00010440
Pgi01A00010430 Pgi01A00010440
Pgi01A00010430 Pgi01A00010450
Pgi01A00010440 Pgi01A00010450
Pgi01A00010490 Pgi01A00010510
Pgi01A00010500 Pgi01A00010520
Pgi01A00010510 Pgi01A00010530
Pgi01A00010520 Pgi01A00010540
Pgi01A00010530 Pgi01A00010550
Pgi01A00010540 Pgi01A00010560
Pgi01A00010640 Pgi01A00010650
Pgi01A00010730 Pgi01A00010740
Pgi01A00010900 Pgi01A00010910
Pgi01A00011010 Pgi01A00011020
Pgi01A00011030 Pgi01A00011040
Pgi01A00011050 Pgi01A00011090
Pgi01A00011260 Pgi01A00011290
Pgi01A00011290 Pgi01A00011330
Pgi01A00011330 Pgi01A00011340
Pgi01A00011360 Pgi01A00011410
Pgi01A00011370 Pgi01A00011390
Pgi01A00011420 Pgi01A00011470
Pgi01A00011510 Pgi01A00011530
Pgi01A00011530 Pgi01A00011550
Pgi01A00011540 Pgi01A00011550
Pgi01A00011590 Pgi01A00011610
Pgi01A00011610 Pgi01A00011620
Pgi01A00011610 Pgi01A00011630
Pgi01A00011620 Pgi01A00011660
Pgi01A00011640 Pgi01A00011660
Pgi01A00011650 Pgi01A00011660
Pgi01A00011670 Pgi01A00011700
Pgi01A00011700 Pgi01A00011710
Pgi01A00011700 Pgi01A00011730
Pgi01A00011710 Pgi01A00011730
Pgi01A00011730 Pgi01A00011740
Pgi01A00011730 Pgi01A00011750
Pgi01A00011740 Pgi01A00011750
Pgi01A00011740 Pgi01A00011760
Pgi01A00011750 Pgi01A00011760
Pgi01A00011750 Pgi01A00011770
Pgi01A00011760 Pgi01A00011770
Pgi01A00011780 Pgi01A00011790
Pgi01A00011780 Pgi01A00011800
Pgi01A00011790 Pgi01A00011800
Pgi01A00011790 Pgi01A00011810
Pgi01A00011800 Pgi01A00011810
Pgi01A00011800 Pgi01A00011820
Pgi01A00011810 Pgi01A00011820
Pgi01A00011810 Pgi01A00011830
Pgi01A00011820 Pgi01A00011830
Pgi01A00011820 Pgi01A00011840
Pgi01A00011830 Pgi01A00011840
Pgi01A00011830 Pgi01A00011880
Pgi01A00011840 Pgi01A00011880
Pgi01A00011860 Pgi01A00011870
Pgi01A00011880 Pgi01A00011900
Pgi01A00011890 Pgi01A00011900
Pgi01A00011890 Pgi01A00011910
Pgi01A00011900 Pgi01A00011910
Pgi01A00011900 Pgi01A00011920
Pgi01A00011910 Pgi01A00011920
Pgi01A00011910 Pgi01A00011930
Pgi01A00011920 Pgi01A00011930
Pgi01A00011920 Pgi01A00011940
Pgi01A00011930 Pgi01A00011940
Pgi01A00011930 Pgi01A00011950
Pgi01A00011940 Pgi01A00011950
Pgi01A00011940 Pgi01A00011990
Pgi01A00011950 Pgi01A00011990
Pgi01A00011970 Pgi01A00011980
Pgi01A00011990 Pgi01A00012020
Pgi01A00012000 Pgi01A00012020
Pgi01A00012020 Pgi01A00012070
Pgi01A00012040 Pgi01A00012050
Pgi01A00012040 Pgi01A00012060
Pgi01A00012050 Pgi01A00012060
Pgi01A00012050 Pgi01A00012070
Pgi01A00012060 Pgi01A00012070
Pgi01A00012060 Pgi01A00012090
Pgi01A00012070 Pgi01A00012080
Pgi01A00012070 Pgi01A00012090
Pgi01A00012080 Pgi01A00012090
Pgi01A00012080 Pgi01A00012110
Pgi01A00012090 Pgi01A00012120
Pgi01A00012100 Pgi01A00012130
Pgi01A00012110 Pgi01A00012130
Pgi01A00012120 Pgi01A00012130
Pgi01A00012120 Pgi01A00012140
Pgi01A00012130 Pgi01A00012140
Pgi01A00012130 Pgi01A00012150
Pgi01A00012140 Pgi01A00012150
Pgi01A00012140 Pgi01A00012160
Pgi01A00012150 Pgi01A00012160
Pgi01A00012150 Pgi01A00012170
Pgi01A00012160 Pgi01A00012170
Pgi01A00012190 Pgi01A00012200
Pgi01A00012190 Pgi01A00012230
Pgi01A00012200 Pgi01A00012230
Pgi01A00012220 Pgi01A00012230
Pgi01A00012220 Pgi01A00012260
Pgi01A00012230 Pgi01A00012260
Pgi01A00012260 Pgi01A00012270
Pgi01A00012260 Pgi01A00012290
Pgi01A00012270 Pgi01A00012290
Pgi01A00012300 Pgi01A00012320
Pgi01A00012320 Pgi01A00012330
Pgi01A00012390 Pgi01A00012400
Pgi01A00012440 Pgi01A00012450
Pgi01A00012440 Pgi01A00012460
Pgi01A00012450 Pgi01A00012460
Pgi01A00012450 Pgi01A00012470
Pgi01A00012460 Pgi01A00012470
Pgi01A00012520 Pgi01A00012530
Pgi01A00012590 Pgi01A00012600
Pgi01A00012740 Pgi01A00012750
Pgi01A00012740 Pgi01A00012760
Pgi01A00012750 Pgi01A00012760
Pgi01A00012750 Pgi01A00012770
Pgi01A00012760 Pgi01A00012770
Pgi01A00013030 Pgi01A00013040
Pgi01A00013030 Pgi01A00013050
Pgi01A00013040 Pgi01A00013050
Pgi01A00013040 Pgi01A00013060
Pgi01A00013050 Pgi01A00013060
Pgi01A00013050 Pgi01A00013070
Pgi01A00013120 Pgi01A00013140
Pgi01A00013150 Pgi01A00013170
Pgi01A00013180 Pgi01A00013200
Pgi01A00013190 Pgi01A00013200
Pgi01A00013210 Pgi01A00013250
Pgi01A00013320 Pgi01A00013330
Pgi01A00013340 Pgi01A00013360
Pgi01A00013440 Pgi01A00013460
Pgi01A00013460 Pgi01A00013470
Pgi01A00013460 Pgi01A00013490
Pgi01A00013470 Pgi01A00013490
Pgi01A00013510 Pgi01A00013520
Pgi01A00013510 Pgi01A00013530
Pgi01A00013530 Pgi01A00013590
Pgi01A00013590 Pgi01A00013630
Pgi01A00013600 Pgi01A00013620
Pgi01A00013620 Pgi01A00013650
Pgi01A00013630 Pgi01A00013660
Pgi01A00013650 Pgi01A00013660
Pgi01A00013850 Pgi01A00013890
Pgi01A00013870 Pgi01A00013880
Pgi01A00013870 Pgi01A00013900
Pgi01A00013880 Pgi01A00013900
Pgi01A00013890 Pgi01A00013930
Pgi01A00013900 Pgi01A00013930
Pgi01A00013910 Pgi01A00013920
Pgi01A00013920 Pgi01A00013970
Pgi01A00013960 Pgi01A00013980
Pgi01A00013980 Pgi01A00013990
Pgi01A00014100 Pgi01A00014120
Pgi01A00014120 Pgi01A00014140
Pgi01A00014140 Pgi01A00014190
Pgi01A00014170 Pgi01A00014180
Pgi01A00014220 Pgi01A00014230
Pgi01A00014220 Pgi01A00014240
Pgi01A00014230 Pgi01A00014240
Pgi01A00014230 Pgi01A00014250
Pgi01A00014240 Pgi01A00014250
Pgi01A00014320 Pgi01A00014330
Pgi01A00014350 Pgi01A00014360
Pgi01A00014370 Pgi01A00014380
Pgi01A00014390 Pgi01A00014400
Pgi01A00014390 Pgi01A00014410
Pgi01A00014400 Pgi01A00014410
Pgi01A00014560 Pgi01A00014570
Pgi01A00014560 Pgi01A00014580
Pgi01A00014570 Pgi01A00014580
Pgi01A00014590 Pgi01A00014610
Pgi01A00014600 Pgi01A00014620
Pgi01A00014660 Pgi01A00014700
Pgi01A00014700 Pgi01A00014730
Pgi01A00014730 Pgi01A00014740
Pgi01A00014730 Pgi01A00014760
Pgi01A00014740 Pgi01A00014770
Pgi01A00014770 Pgi01A00014780
Pgi01A00014770 Pgi01A00014790
Pgi01A00014820 Pgi01A00014830
Pgi01A00014940 Pgi01A00014960
Pgi01A00014960 Pgi01A00014980
Pgi01A00014980 Pgi01A00014990
Pgi01A00014980 Pgi01A00015010
Pgi01A00014990 Pgi01A00015010
Pgi01A00015010 Pgi01A00015040
Pgi01A00015020 Pgi01A00015040
Pgi01A00015070 Pgi01A00015080
Pgi01A00015070 Pgi01A00015090
Pgi01A00015080 Pgi01A00015090
Pgi01A00015080 Pgi01A00015100
Pgi01A00015090 Pgi01A00015100
Pgi01A00015090 Pgi01A00015110
Pgi01A00015100 Pgi01A00015110
Pgi01A00015120 Pgi01A00015130
Pgi01A00015150 Pgi01A00015180
Pgi01A00015180 Pgi01A00015190
Pgi01A00015220 Pgi01A00015240
