gene:Et_10A_000251 gene:Et_10A_000994
gene:Et_10A_001585 gene:Et_10A_001586
gene:Et_10A_002247 gene:Et_10A_002251
gene:Et_10A_002251 gene:Et_10A_002248
gene:Et_10A_001588 gene:Et_10A_002252
gene:Et_10A_002252 gene:Et_10A_002253
gene:Et_10A_001593 gene:Et_10A_001592
gene:Et_10A_001593 gene:Et_10A_001590
gene:Et_10A_001592 gene:Et_10A_001590
gene:Et_10A_001651 gene:Et_10A_001645
gene:Et_10A_001651 gene:Et_10A_001644
gene:Et_10A_001645 gene:Et_10A_001644
gene:Et_10A_001645 gene:Et_10A_002272
gene:Et_10A_001644 gene:Et_10A_002272
gene:Et_10A_001652 gene:Et_10A_001649
gene:Et_10A_001655 gene:Et_10A_001658
gene:Et_10A_001658 gene:Et_10A_001656
gene:Et_10A_002274 gene:Et_10A_001674
gene:Et_10A_001675 gene:Et_10A_001680
gene:Et_10A_001680 gene:Et_10A_001679
gene:Et_10A_001680 gene:Et_10A_001678
gene:Et_10A_001679 gene:Et_10A_001681
gene:Et_10A_001678 gene:Et_10A_002273
gene:Et_10A_002273 gene:Et_10A_001681
gene:Et_10A_001707 gene:Et_10A_002282
gene:Et_10A_002286 gene:Et_10A_001701
gene:Et_10A_001701 gene:Et_10A_001700
gene:Et_10A_002282 gene:Et_10A_001700
gene:Et_10A_002282 gene:Et_10A_001708
gene:Et_10A_001700 gene:Et_10A_001709
gene:Et_10A_001708 gene:Et_10A_001714
gene:Et_10A_001718 gene:Et_10A_001719
gene:Et_10A_001718 gene:Et_10A_002290
gene:Et_10A_001719 gene:Et_10A_001717
gene:Et_10A_001724 gene:Et_10A_001727
gene:Et_10A_002293 gene:Et_10A_001728
gene:Et_10A_002293 gene:Et_10A_001729
gene:Et_10A_001728 gene:Et_10A_001729
gene:Et_10A_001753 gene:Et_10A_001752
gene:Et_10A_002300 gene:Et_10A_002301
gene:Et_10A_000391 gene:Et_10A_001760
gene:Et_10A_001760 gene:Et_10A_001765
gene:Et_10A_001763 gene:Et_10A_001764
gene:Et_10A_001775 gene:Et_10A_001776
gene:Et_10A_001774 gene:Et_10A_001776
gene:Et_10A_001776 gene:Et_10A_001777
gene:Et_10A_001781 gene:Et_10A_001780
gene:Et_10A_001781 gene:Et_10A_001784
gene:Et_10A_001784 gene:Et_10A_001783
gene:Et_10A_002314 gene:Et_10A_002312
gene:Et_10A_002310 gene:Et_10A_002311
gene:Et_10A_002310 gene:Et_10A_002313
gene:Et_10A_002311 gene:Et_10A_002313
gene:Et_10A_002312 gene:Et_10A_002313
gene:Et_10A_002312 gene:Et_10A_001807
gene:Et_10A_001808 gene:Et_10A_001809
gene:Et_10A_001812 gene:Et_10A_001811
gene:Et_10A_001822 gene:Et_10A_002319
gene:Et_10A_001819 gene:Et_10A_001818
gene:Et_10A_001819 gene:Et_10A_001823
gene:Et_10A_001818 gene:Et_10A_001823
gene:Et_10A_002320 gene:Et_10A_002321
gene:Et_10A_002321 gene:Et_10A_001824
gene:Et_10A_002321 gene:Et_10A_001826
gene:Et_10A_001824 gene:Et_10A_001826
gene:Et_10A_001835 gene:Et_10A_001849
gene:Et_10A_001835 gene:Et_10A_001848
gene:Et_10A_001849 gene:Et_10A_001848
gene:Et_10A_001849 gene:Et_10A_001847
gene:Et_10A_001848 gene:Et_10A_001847
gene:Et_10A_001847 gene:Et_10A_002327
gene:Et_10A_001847 gene:Et_10A_001852
gene:Et_10A_002327 gene:Et_10A_001852
gene:Et_10A_002328 gene:Et_10A_001851
gene:Et_10A_001856 gene:Et_10A_002330
gene:Et_10A_001853 gene:Et_10A_002333
gene:Et_10A_002330 gene:Et_10A_001854
gene:Et_10A_002330 gene:Et_10A_002331
gene:Et_10A_001854 gene:Et_10A_002331
gene:Et_10A_002333 gene:Et_10A_001859
gene:Et_10A_001858 gene:Et_10A_000128
gene:Et_10A_001858 gene:Et_10A_001855
gene:Et_10A_001859 gene:Et_10A_000399
gene:Et_10A_001863 gene:Et_10A_001860
gene:Et_10A_001862 gene:Et_10A_002336
gene:Et_10A_001872 gene:Et_10A_001873
gene:Et_10A_001897 gene:Et_10A_000433
gene:Et_10A_000430 gene:Et_10A_000431
gene:Et_10A_000447 gene:Et_10A_000448
gene:Et_10A_001907 gene:Et_10A_001908
gene:Et_10A_000466 gene:Et_10A_001911
gene:Et_10A_000466 gene:Et_10A_001909
gene:Et_10A_001911 gene:Et_10A_001909
gene:Et_10A_001911 gene:Et_10A_000472
gene:Et_10A_001909 gene:Et_10A_000472
gene:Et_10A_000488 gene:Et_10A_000490
gene:Et_10A_000494 gene:Et_10A_000493
gene:Et_10A_000498 gene:Et_10A_000497
gene:Et_10A_000500 gene:Et_10A_000505
gene:Et_10A_000506 gene:Et_10A_001929
gene:Et_10A_000506 gene:Et_10A_000507
gene:Et_10A_001929 gene:Et_10A_000507
gene:Et_10A_001929 gene:Et_10A_000508
gene:Et_10A_000507 gene:Et_10A_000508
gene:Et_10A_000534 gene:Et_10A_000542
gene:Et_10A_000535 gene:Et_10A_000542
gene:Et_10A_000547 gene:Et_10A_000543
gene:Et_10A_000554 gene:Et_10A_000553
gene:Et_10A_000560 gene:Et_10A_000010
gene:Et_10A_000010 gene:Et_10A_001936
gene:Et_10A_000566 gene:Et_10A_000567
gene:Et_10A_000151 gene:Et_10A_000152
gene:Et_10A_000580 gene:Et_10A_000582
gene:Et_10A_000576 gene:Et_10A_000577
gene:Et_10A_000582 gene:Et_10A_000586
gene:Et_10A_000586 gene:Et_10A_000583
gene:Et_10A_000589 gene:Et_10A_000588
gene:Et_10A_000590 gene:Et_10A_000592
gene:Et_10A_000159 gene:Et_10A_000592
gene:Et_10A_001939 gene:Et_10A_001940
gene:Et_10A_000601 gene:Et_10A_000600
gene:Et_10A_001946 gene:Et_10A_001947
gene:Et_10A_000631 gene:Et_10A_000633
gene:Et_10A_000638 gene:Et_10A_000635
gene:Et_10A_000646 gene:Et_10A_000647
gene:Et_10A_000647 gene:Et_10A_000648
gene:Et_10A_000647 gene:Et_10A_001956
gene:Et_10A_000648 gene:Et_10A_000650
gene:Et_10A_001956 gene:Et_10A_000650
gene:Et_10A_001956 gene:Et_10A_000649
gene:Et_10A_000650 gene:Et_10A_000649
gene:Et_10A_001959 gene:Et_10A_000175
gene:Et_10A_000654 gene:Et_10A_000653
gene:Et_10A_000654 gene:Et_10A_000175
gene:Et_10A_000175 gene:Et_10A_000177
gene:Et_10A_000660 gene:Et_10A_000661
gene:Et_10A_000670 gene:Et_10A_000669
gene:Et_10A_000674 gene:Et_10A_001964
gene:Et_10A_000675 gene:Et_10A_000678
gene:Et_10A_000675 gene:Et_10A_000677
gene:Et_10A_000678 gene:Et_10A_000677
gene:Et_10A_000678 gene:Et_10A_000676
gene:Et_10A_000679 gene:Et_10A_000682
gene:Et_10A_000697 gene:Et_10A_000696
gene:Et_10A_000703 gene:Et_10A_000702
gene:Et_10A_000184 gene:Et_10A_000185
gene:Et_10A_000733 gene:Et_10A_000734
gene:Et_10A_000733 gene:Et_10A_000737
gene:Et_10A_000734 gene:Et_10A_000737
gene:Et_10A_000737 gene:Et_10A_000739
gene:Et_10A_000739 gene:Et_10A_000735
gene:Et_10A_000735 gene:Et_10A_000731
gene:Et_10A_000732 gene:Et_10A_000738
gene:Et_10A_000731 gene:Et_10A_000738
gene:Et_10A_000731 gene:Et_10A_000736
gene:Et_10A_000738 gene:Et_10A_000736
gene:Et_10A_000750 gene:Et_10A_000748
gene:Et_10A_001984 gene:Et_10A_001985
gene:Et_10A_001985 gene:Et_10A_000756
gene:Et_10A_001986 gene:Et_10A_000756
gene:Et_10A_000197 gene:Et_10A_000198
gene:Et_10A_000029 gene:Et_10A_000773
gene:Et_10A_000200 gene:Et_10A_000773
gene:Et_10A_000201 gene:Et_10A_000780
gene:Et_10A_000780 gene:Et_10A_000779
gene:Et_10A_000787 gene:Et_10A_000790
gene:Et_10A_000787 gene:Et_10A_000788
gene:Et_10A_000790 gene:Et_10A_000794
gene:Et_10A_000788 gene:Et_10A_000791
gene:Et_10A_000793 gene:Et_10A_000792
gene:Et_10A_000796 gene:Et_10A_000797
gene:Et_10A_000796 gene:Et_10A_000204
gene:Et_10A_000797 gene:Et_10A_001992
gene:Et_10A_001992 gene:Et_10A_001995
gene:Et_10A_001990 gene:Et_10A_000034
gene:Et_10A_001997 gene:Et_10A_000805
gene:Et_10A_000802 gene:Et_10A_000803
gene:Et_10A_000801 gene:Et_10A_000807
gene:Et_10A_000803 gene:Et_10A_000806
gene:Et_10A_000807 gene:Et_10A_000806
gene:Et_10A_000799 gene:Et_10A_001996
gene:Et_10A_000799 gene:Et_10A_000800
gene:Et_10A_001996 gene:Et_10A_000811
gene:Et_10A_000800 gene:Et_10A_000811
gene:Et_10A_000812 gene:Et_10A_000814
gene:Et_10A_000817 gene:Et_10A_000816
gene:Et_10A_000817 gene:Et_10A_000818
gene:Et_10A_000035 gene:Et_10A_000036
gene:Et_10A_002008 gene:Et_10A_000849
gene:Et_10A_002008 gene:Et_10A_002007
gene:Et_10A_000849 gene:Et_10A_002007
gene:Et_10A_002007 gene:Et_10A_000850
gene:Et_10A_000850 gene:Et_10A_000856
gene:Et_10A_000854 gene:Et_10A_000858
gene:Et_10A_000856 gene:Et_10A_000855
gene:Et_10A_000856 gene:Et_10A_000857
gene:Et_10A_000855 gene:Et_10A_000857
gene:Et_10A_000864 gene:Et_10A_002011
gene:Et_10A_000864 gene:Et_10A_002012
gene:Et_10A_002011 gene:Et_10A_000865
gene:Et_10A_002011 gene:Et_10A_002012
gene:Et_10A_000865 gene:Et_10A_002012
gene:Et_10A_000885 gene:Et_10A_002014
gene:Et_10A_000900 gene:Et_10A_000901
gene:Et_10A_000899 gene:Et_10A_000901
gene:Et_10A_000899 gene:Et_10A_000902
gene:Et_10A_000901 gene:Et_10A_000902
gene:Et_10A_002025 gene:Et_10A_002026
gene:Et_10A_000929 gene:Et_10A_000928
gene:Et_10A_000936 gene:Et_10A_000937
gene:Et_10A_000936 gene:Et_10A_002027
gene:Et_10A_000937 gene:Et_10A_002027
gene:Et_10A_000940 gene:Et_10A_002029
gene:Et_10A_000940 gene:Et_10A_000947
gene:Et_10A_002029 gene:Et_10A_000947
gene:Et_10A_000958 gene:Et_10A_000960
gene:Et_10A_000960 gene:Et_10A_000959
gene:Et_10A_000245 gene:Et_10A_002032
gene:Et_10A_000975 gene:Et_10A_000972
gene:Et_10A_000972 gene:Et_10A_000977
gene:Et_10A_000977 gene:Et_10A_000973
gene:Et_10A_000979 gene:Et_10A_000978
gene:Et_10A_000986 gene:Et_10A_002033
gene:Et_10A_001004 gene:Et_10A_002039
gene:Et_10A_000053 gene:Et_10A_000052
gene:Et_10A_001015 gene:Et_10A_001016
gene:Et_10A_001018 gene:Et_10A_001020
gene:Et_10A_001024 gene:Et_10A_001019
gene:Et_10A_001024 gene:Et_10A_001026
gene:Et_10A_001019 gene:Et_10A_001026
gene:Et_10A_001019 gene:Et_10A_001025
gene:Et_10A_001020 gene:Et_10A_001021
gene:Et_10A_001021 gene:Et_10A_002042
gene:Et_10A_001038 gene:Et_10A_002049
gene:Et_10A_002048 gene:Et_10A_002049
gene:Et_10A_002052 gene:Et_10A_002053
gene:Et_10A_001049 gene:Et_10A_001053
gene:Et_10A_001050 gene:Et_10A_001051
gene:Et_10A_002056 gene:Et_10A_002057
gene:Et_10A_002057 gene:Et_10A_001069
gene:Et_10A_001069 gene:Et_10A_000269
gene:Et_10A_001099 gene:Et_10A_001100
gene:Et_10A_001098 gene:Et_10A_001100
gene:Et_10A_001107 gene:Et_10A_000283
gene:Et_10A_001115 gene:Et_10A_001116
gene:Et_10A_000064 gene:Et_10A_000068
gene:Et_10A_000290 gene:Et_10A_001131
gene:Et_10A_000289 gene:Et_10A_001131
gene:Et_10A_002080 gene:Et_10A_001156
gene:Et_10A_002081 gene:Et_10A_001156
gene:Et_10A_001165 gene:Et_10A_001169
gene:Et_10A_001171 gene:Et_10A_001172
gene:Et_10A_001169 gene:Et_10A_001168
gene:Et_10A_001169 gene:Et_10A_001170
gene:Et_10A_001168 gene:Et_10A_001170
gene:Et_10A_001168 gene:Et_10A_001167
gene:Et_10A_001170 gene:Et_10A_001167
gene:Et_10A_001177 gene:Et_10A_000298
gene:Et_10A_002089 gene:Et_10A_002091
gene:Et_10A_002092 gene:Et_10A_000076
gene:Et_10A_000078 gene:Et_10A_002096
gene:Et_10A_002094 gene:Et_10A_002095
gene:Et_10A_001226 gene:Et_10A_001228
gene:Et_10A_002100 gene:Et_10A_001244
gene:Et_10A_001251 gene:Et_10A_001252
gene:Et_10A_002104 gene:Et_10A_001256
gene:Et_10A_001257 gene:Et_10A_001258
gene:Et_10A_001260 gene:Et_10A_001262
gene:Et_10A_001262 gene:Et_10A_001261
gene:Et_10A_001262 gene:Et_10A_002105
gene:Et_10A_001261 gene:Et_10A_001263
gene:Et_10A_002105 gene:Et_10A_001263
gene:Et_10A_000092 gene:Et_10A_002108
gene:Et_10A_000092 gene:Et_10A_001272
gene:Et_10A_002108 gene:Et_10A_001272
gene:Et_10A_000093 gene:Et_10A_000316
gene:Et_10A_002121 gene:Et_10A_001297
gene:Et_10A_001311 gene:Et_10A_001310
gene:Et_10A_001324 gene:Et_10A_001323
gene:Et_10A_001340 gene:Et_10A_002140
gene:Et_10B_002709 gene:Et_10B_002710
gene:Et_10B_004064 gene:Et_10B_004058
gene:Et_10B_003461 gene:Et_10B_003462
gene:Et_10B_004231 gene:Et_10B_004235
gene:Et_10B_004287 gene:Et_10B_004288
gene:Et_10B_003548 gene:Et_10B_004292
gene:Et_10B_003691 gene:Et_10B_003692
gene:Et_10B_003780 gene:Et_10B_004392
gene:Et_10B_004392 gene:Et_10B_003781
gene:Et_10B_003781 gene:Et_10B_003782
gene:Et_10B_003781 gene:Et_10B_003868
gene:Et_10B_003782 gene:Et_10B_003868
gene:Et_10B_003782 gene:Et_10B_004429
gene:Et_10B_003868 gene:Et_10B_004429
gene:Et_10B_004431 gene:Et_10B_004433
gene:Et_10B_002724 gene:Et_10B_002725
gene:Et_10B_004075 gene:Et_10B_004076
gene:Et_10B_004075 gene:Et_10B_002771
gene:Et_10B_002773 gene:Et_10B_002775
gene:Et_10B_004090 gene:Et_10B_004086
gene:Et_10B_002825 gene:Et_10B_002824
gene:Et_10B_002984 gene:Et_10B_002374
gene:Et_10B_003051 gene:Et_10B_003052
gene:Et_10B_003056 gene:Et_10B_003057
gene:Et_10B_003056 gene:Et_10B_003058
gene:Et_10B_003057 gene:Et_10B_003058
gene:Et_10B_003057 gene:Et_10B_004153
gene:Et_10B_003058 gene:Et_10B_004153
gene:Et_10B_003141 gene:Et_10B_003136
gene:Et_10B_003141 gene:Et_10B_003142
gene:Et_10B_003136 gene:Et_10B_003142
gene:Et_10B_003136 gene:Et_10B_003143
gene:Et_10B_003142 gene:Et_10B_003143
gene:Et_10B_004186 gene:Et_10B_003230
gene:Et_10B_003235 gene:Et_10B_003234
gene:Et_10B_004238 gene:Et_10B_004239
gene:Et_10B_004237 gene:Et_10B_003474
gene:Et_10B_004239 gene:Et_10B_003474
gene:Et_10B_004239 gene:Et_10B_003473
gene:Et_10B_003474 gene:Et_10B_003472
gene:Et_10B_003474 gene:Et_10B_003473
gene:Et_10B_003472 gene:Et_10B_003473
gene:Et_10B_003476 gene:Et_10B_003498
gene:Et_10B_003498 gene:Et_10B_004251
gene:Et_10B_003498 gene:Et_10B_004252
gene:Et_10B_004251 gene:Et_10B_004256
gene:Et_10B_003497 gene:Et_10B_004253
gene:Et_10B_003497 gene:Et_10B_004254
gene:Et_10B_003504 gene:Et_10B_003509
gene:Et_10B_003504 gene:Et_10B_003512
gene:Et_10B_003509 gene:Et_10B_003512
gene:Et_10B_003505 gene:Et_10B_003506
gene:Et_10B_004261 gene:Et_10B_003516
gene:Et_10B_004265 gene:Et_10B_004276
gene:Et_10B_004265 gene:Et_10B_003522
gene:Et_10B_004276 gene:Et_10B_003522
gene:Et_10B_004276 gene:Et_10B_004271
gene:Et_10B_003522 gene:Et_10B_004271
gene:Et_10B_004271 gene:Et_10B_004272
gene:Et_10B_004271 gene:Et_10B_003521
gene:Et_10B_004272 gene:Et_10B_003521
gene:Et_10B_004272 gene:Et_10B_004274
gene:Et_10B_003521 gene:Et_10B_004273
gene:Et_10B_003521 gene:Et_10B_004274
gene:Et_10B_004273 gene:Et_10B_003523
gene:Et_10B_004275 gene:Et_10B_003524
gene:Et_10B_004278 gene:Et_10B_003529
gene:Et_10B_002644 gene:Et_10B_002646
gene:Et_10B_004282 gene:Et_10B_003540
gene:Et_10B_003559 gene:Et_10B_003560
gene:Et_10B_003563 gene:Et_10B_003564
gene:Et_10B_004297 gene:Et_10B_004302
gene:Et_10B_003574 gene:Et_10B_003567
gene:Et_10B_003574 gene:Et_10B_004299
gene:Et_10B_003567 gene:Et_10B_004299
gene:Et_10B_004299 gene:Et_10B_003573
gene:Et_10B_004299 gene:Et_10B_004300
gene:Et_10B_003573 gene:Et_10B_004300
gene:Et_10B_003573 gene:Et_10B_003575
gene:Et_10B_004300 gene:Et_10B_003575
gene:Et_10B_004307 gene:Et_10B_004308
gene:Et_10B_004311 gene:Et_10B_003588
gene:Et_10B_003587 gene:Et_10B_003588
gene:Et_10B_003603 gene:Et_10B_003606
gene:Et_10B_003607 gene:Et_10B_003606
gene:Et_10B_002655 gene:Et_10B_003606
gene:Et_10B_002655 gene:Et_10B_004318
gene:Et_10B_003606 gene:Et_10B_004318
gene:Et_10B_003606 gene:Et_10B_003604
gene:Et_10B_004318 gene:Et_10B_003604
gene:Et_10B_003602 gene:Et_10B_003605
gene:Et_10B_003604 gene:Et_10B_003605
gene:Et_10B_003605 gene:Et_10B_004314
gene:Et_10B_003597 gene:Et_10B_004316
gene:Et_10B_004316 gene:Et_10B_003599
gene:Et_10B_004316 gene:Et_10B_003608
gene:Et_10B_003599 gene:Et_10B_003608
gene:Et_10B_003599 gene:Et_10B_003613
gene:Et_10B_003608 gene:Et_10B_003613
gene:Et_10B_003609 gene:Et_10B_003601
gene:Et_10B_003609 gene:Et_10B_003613
gene:Et_10B_003601 gene:Et_10B_003613
gene:Et_10B_003601 gene:Et_10B_004319
gene:Et_10B_003613 gene:Et_10B_003600
gene:Et_10B_003613 gene:Et_10B_004319
gene:Et_10B_003600 gene:Et_10B_004319
gene:Et_10B_004319 gene:Et_10B_003615
gene:Et_10B_004319 gene:Et_10B_003612
gene:Et_10B_003615 gene:Et_10B_003614
gene:Et_10B_003612 gene:Et_10B_003617
gene:Et_10B_003614 gene:Et_10B_003617
gene:Et_10B_003614 gene:Et_10B_003619
gene:Et_10B_003617 gene:Et_10B_003619
gene:Et_10B_003617 gene:Et_10B_003610
gene:Et_10B_003619 gene:Et_10B_003610
gene:Et_10B_003610 gene:Et_10B_003618
gene:Et_10B_004320 gene:Et_10B_003618
gene:Et_10B_004324 gene:Et_10B_003621
gene:Et_10B_004329 gene:Et_10B_004330
gene:Et_10B_003647 gene:Et_10B_003648
gene:Et_10B_003647 gene:Et_10B_003649
gene:Et_10B_003648 gene:Et_10B_003651
gene:Et_10B_003649 gene:Et_10B_003651
gene:Et_10B_004343 gene:Et_10B_004344
gene:Et_10B_003659 gene:Et_10B_003657
gene:Et_10B_003664 gene:Et_10B_003665
gene:Et_10B_004350 gene:Et_10B_004351
gene:Et_10B_004349 gene:Et_10B_004352
gene:Et_10B_003670 gene:Et_10B_003667
gene:Et_10B_003682 gene:Et_10B_003678
gene:Et_10B_003683 gene:Et_10B_003681
gene:Et_10B_003683 gene:Et_10B_003678
gene:Et_10B_003681 gene:Et_10B_003678
gene:Et_10B_003684 gene:Et_10B_004366
gene:Et_10B_004366 gene:Et_10B_003686
gene:Et_10B_004371 gene:Et_10B_003686
gene:Et_10B_003689 gene:Et_10B_003703
gene:Et_10B_003711 gene:Et_10B_003716
gene:Et_10B_003711 gene:Et_10B_004375
gene:Et_10B_003726 gene:Et_10B_003727
gene:Et_10B_003736 gene:Et_10B_003730
gene:Et_10B_003728 gene:Et_10B_003729
gene:Et_10B_003741 gene:Et_10B_003742
gene:Et_10B_003747 gene:Et_10B_003753
gene:Et_10B_003752 gene:Et_10B_003753
gene:Et_10B_003753 gene:Et_10B_003751
gene:Et_10B_003755 gene:Et_10B_003756
gene:Et_10B_003755 gene:Et_10B_003754
gene:Et_10B_003756 gene:Et_10B_003754
gene:Et_10B_004388 gene:Et_10B_004386
gene:Et_10B_004388 gene:Et_10B_003764
gene:Et_10B_004386 gene:Et_10B_003764
gene:Et_10B_003764 gene:Et_10B_003766
gene:Et_10B_003767 gene:Et_10B_003769
gene:Et_10B_003769 gene:Et_10B_003770
gene:Et_10B_003769 gene:Et_10B_002668
gene:Et_10B_003770 gene:Et_10B_002668
gene:Et_10B_004391 gene:Et_10B_003773
gene:Et_10B_003771 gene:Et_10B_003777
gene:Et_10B_004394 gene:Et_10B_003783
gene:Et_10B_004395 gene:Et_10B_003783
gene:Et_10B_003783 gene:Et_10B_003784
gene:Et_10B_003783 gene:Et_10B_003788
gene:Et_10B_003784 gene:Et_10B_003788
gene:Et_10B_003788 gene:Et_10B_004401
gene:Et_10B_003797 gene:Et_10B_003798
gene:Et_10B_003799 gene:Et_10B_004404
gene:Et_10B_003822 gene:Et_10B_003823
gene:Et_10B_004415 gene:Et_10B_004412
gene:Et_10B_003843 gene:Et_10B_004418
gene:Et_10B_003841 gene:Et_10B_002676
gene:Et_10B_004419 gene:Et_10B_003844
