jcvi_default	jcvi_diamond	jcvi_blast	quota_Anchor_diamond	quota_Anchor_blast	jcvi_default_part1	jcvi_default_part2	jcvi_default_part3	jcvi_diamond_part1	jcvi_diamond_part2	jcvi_diamond_part3	jcvi_blast_part1	jcvi_blast_part2	jcvi_blast_part3
gene:Zm00001eb000340_gene:SORBI_3001G542400	gene:Zm00001eb000380_gene:SORBI_3001G542100	gene:Zm00001eb000380_gene:SORBI_3001G542100	gene:Zm00001eb023040_gene:SORBI_3001G304300	gene:Zm00001eb023040_gene:SORBI_3001G304300	gene:Zm00001eb000370_gene:SORBI_3001G542200	gene:Zm00001eb000860_gene:SORBI_3001G534800	gene:Zm00001eb039970_gene:SORBI_3007G175900	gene:Zm00001eb000390_gene:SORBI_3001G541900	gene:Zm00001eb000820_gene:SORBI_3001G535800	gene:Zm00001eb026110_gene:SORBI_3001G273200	gene:Zm00001eb000390_gene:SORBI_3001G541900	gene:Zm00001eb000820_gene:SORBI_3001G535800	gene:Zm00001eb023420_gene:SORBI_3001G300900
gene:Zm00001eb000370_gene:SORBI_3001G542200	gene:Zm00001eb000390_gene:SORBI_3001G541900	gene:Zm00001eb000390_gene:SORBI_3001G541900	gene:Zm00001eb023020_gene:SORBI_3001G304400	gene:Zm00001eb023020_gene:SORBI_3001G304400	gene:Zm00001eb000380_gene:SORBI_3001G542100	gene:Zm00001eb000870_gene:SORBI_3001G534700	gene:Zm00001eb422190_gene:SORBI_3006G076400	gene:Zm00001eb000400_gene:SORBI_3001G541700	gene:Zm00001eb000860_gene:SORBI_3001G534800	gene:Zm00001eb049660_gene:SORBI_3001G176400	gene:Zm00001eb000400_gene:SORBI_3001G541700	gene:Zm00001eb000860_gene:SORBI_3001G534800	gene:Zm00001eb026110_gene:SORBI_3001G273200
gene:Zm00001eb000380_gene:SORBI_3001G542100	gene:Zm00001eb000400_gene:SORBI_3001G541700	gene:Zm00001eb000400_gene:SORBI_3001G541700	gene:Zm00001eb023010_gene:SORBI_3001G304500	gene:Zm00001eb023010_gene:SORBI_3001G304500	gene:Zm00001eb000390_gene:SORBI_3001G541900	gene:Zm00001eb000970_gene:SORBI_3001G533400	gene:Zm00001eb422440_gene:SORBI_3006G081800	gene:Zm00001eb000420_gene:SORBI_3001G541500	gene:Zm00001eb000870_gene:SORBI_3001G534700	gene:Zm00001eb049790_gene:SORBI_3001G176400	gene:Zm00001eb000420_gene:SORBI_3001G541500	gene:Zm00001eb000870_gene:SORBI_3001G534700	gene:Zm00001eb049660_gene:SORBI_3001G176400
gene:Zm00001eb000390_gene:SORBI_3001G541900	gene:Zm00001eb000420_gene:SORBI_3001G541500	gene:Zm00001eb000420_gene:SORBI_3001G541500	gene:Zm00001eb022980_gene:SORBI_3001G304700	gene:Zm00001eb022980_gene:SORBI_3001G304700	gene:Zm00001eb000400_gene:SORBI_3001G541700	gene:Zm00001eb000980_gene:SORBI_3001G533300	gene:Zm00001eb427310_gene:SORBI_3006G158500	gene:Zm00001eb000440_gene:SORBI_3001G541300	gene:Zm00001eb000970_gene:SORBI_3001G533400	gene:Zm00001eb049980_gene:SORBI_3001G172700	gene:Zm00001eb000440_gene:SORBI_3001G541300	gene:Zm00001eb000970_gene:SORBI_3001G533400	gene:Zm00001eb049790_gene:SORBI_3001G176400
gene:Zm00001eb000400_gene:SORBI_3001G541700	gene:Zm00001eb000440_gene:SORBI_3001G541300	gene:Zm00001eb000440_gene:SORBI_3001G541300	gene:Zm00001eb022970_gene:SORBI_3001G304800	gene:Zm00001eb022970_gene:SORBI_3001G304800	gene:Zm00001eb000410_gene:SORBI_3001G541601	gene:Zm00001eb001260_gene:SORBI_3001G530600	gene:Zm00001eb431370_gene:SORBI_3006G223900	gene:Zm00001eb000460_gene:SORBI_3001G541166	gene:Zm00001eb000980_gene:SORBI_3001G533300	gene:Zm00001eb052400_gene:SORBI_3001G141900	gene:Zm00001eb000460_gene:SORBI_3001G541166	gene:Zm00001eb000980_gene:SORBI_3001G533300	gene:Zm00001eb049980_gene:SORBI_3001G172700
gene:Zm00001eb000410_gene:SORBI_3001G541601	gene:Zm00001eb000460_gene:SORBI_3001G541166	gene:Zm00001eb000460_gene:SORBI_3001G541166	gene:Zm00001eb022960_gene:SORBI_3001G305200	gene:Zm00001eb022960_gene:SORBI_3001G305200	gene:Zm00001eb000420_gene:SORBI_3001G541500	gene:Zm00001eb001270_gene:SORBI_3001G530500	gene:Zm00001eb411380_gene:SORBI_3008G080100	gene:Zm00001eb000480_gene:SORBI_3001G541100	gene:Zm00001eb001260_gene:SORBI_3001G530600	gene:Zm00001eb055140_gene:SORBI_3001G114900	gene:Zm00001eb000480_gene:SORBI_3001G541100	gene:Zm00001eb001260_gene:SORBI_3001G530600	gene:Zm00001eb052380_gene:SORBI_3001G141900
gene:Zm00001eb000420_gene:SORBI_3001G541500	gene:Zm00001eb000480_gene:SORBI_3001G541100	gene:Zm00001eb000480_gene:SORBI_3001G541100	gene:Zm00001eb022950_gene:SORBI_3001G305300	gene:Zm00001eb022950_gene:SORBI_3001G305300	gene:Zm00001eb000440_gene:SORBI_3001G541400	gene:Zm00001eb001340_gene:SORBI_3001G530100	gene:Zm00001eb411680_gene:SORBI_3008G080100	gene:Zm00001eb000490_gene:SORBI_3001G540900	gene:Zm00001eb001270_gene:SORBI_3001G530500	gene:Zm00001eb062820_gene:SORBI_3001G034000	gene:Zm00001eb000490_gene:SORBI_3001G540900	gene:Zm00001eb001270_gene:SORBI_3001G530500	gene:Zm00001eb055090_gene:SORBI_3001G115600
gene:Zm00001eb000440_gene:SORBI_3001G541400	gene:Zm00001eb000490_gene:SORBI_3001G540900	gene:Zm00001eb000490_gene:SORBI_3001G540900	gene:Zm00001eb022940_gene:SORBI_3001G305500	gene:Zm00001eb022940_gene:SORBI_3001G305500	gene:Zm00001eb000450_gene:SORBI_3001G541300	gene:Zm00001eb001460_gene:SORBI_3001G529200	gene:Zm00001eb096900_gene:SORBI_3002G118700	gene:Zm00001eb000500_gene:SORBI_3001G540700	gene:Zm00001eb001340_gene:SORBI_3001G530100	gene:Zm00001eb064460_gene:SORBI_3001G016200	gene:Zm00001eb000500_gene:SORBI_3001G540700	gene:Zm00001eb001340_gene:SORBI_3001G530100	gene:Zm00001eb062820_gene:SORBI_3001G034000
gene:Zm00001eb000450_gene:SORBI_3001G541300	gene:Zm00001eb000500_gene:SORBI_3001G540700	gene:Zm00001eb000500_gene:SORBI_3001G540700	gene:Zm00001eb022930_gene:SORBI_3001G305600	gene:Zm00001eb022930_gene:SORBI_3001G305600	gene:Zm00001eb000460_gene:SORBI_3001G541166	gene:Zm00001eb001470_gene:SORBI_3001G529100	gene:Zm00001eb097100_gene:SORBI_3002G118700	gene:Zm00001eb000510_gene:SORBI_3001G540600	gene:Zm00001eb001460_gene:SORBI_3001G529200	gene:Zm00001eb064510_gene:SORBI_3001G018300	gene:Zm00001eb000510_gene:SORBI_3001G540600	gene:Zm00001eb001460_gene:SORBI_3001G529200	gene:Zm00001eb064460_gene:SORBI_3001G016201
gene:Zm00001eb000460_gene:SORBI_3001G541166	gene:Zm00001eb000510_gene:SORBI_3001G540600	gene:Zm00001eb000510_gene:SORBI_3001G540600	gene:Zm00001eb022920_gene:SORBI_3001G305800	gene:Zm00001eb022920_gene:SORBI_3001G305800	gene:Zm00001eb000480_gene:SORBI_3001G541100	gene:Zm00001eb001480_gene:SORBI_3001G529000	gene:Zm00001eb097720_gene:SORBI_3002G160200	gene:Zm00001eb000570_gene:SORBI_3001G539400	gene:Zm00001eb001470_gene:SORBI_3001G529100	gene:Zm00001eb033720_gene:SORBI_3007G222500	gene:Zm00001eb000570_gene:SORBI_3001G539400	gene:Zm00001eb001470_gene:SORBI_3001G529100	gene:Zm00001eb036930_gene:SORBI_3007G194100
gene:Zm00001eb000480_gene:SORBI_3001G541100	gene:Zm00001eb000520_gene:SORBI_3001G540400	gene:Zm00001eb000520_gene:SORBI_3001G540400	gene:Zm00001eb022910_gene:SORBI_3001G305900	gene:Zm00001eb022910_gene:SORBI_3001G305900	gene:Zm00001eb000490_gene:SORBI_3001G540900	gene:Zm00001eb001510_gene:SORBI_3001G528600	gene:Zm00001eb106380_gene:SORBI_3002G328900	gene:Zm00001eb000580_gene:SORBI_3001G539200	gene:Zm00001eb001480_gene:SORBI_3001G529000	gene:Zm00001eb033740_gene:SORBI_3007G222500	gene:Zm00001eb000580_gene:SORBI_3001G539200	gene:Zm00001eb001480_gene:SORBI_3001G529000	gene:Zm00001eb039970_gene:SORBI_3007G175900
gene:Zm00001eb000490_gene:SORBI_3001G540900	gene:Zm00001eb000540_gene:SORBI_3001G540200	gene:Zm00001eb000540_gene:SORBI_3001G540200	gene:Zm00001eb022810_gene:SORBI_3001G306000	gene:Zm00001eb022810_gene:SORBI_3001G306000	gene:Zm00001eb000500_gene:SORBI_3001G540700	gene:Zm00001eb001630_gene:SORBI_3001G527500	gene:Zm00001eb106450_gene:SORBI_3002G329900	gene:Zm00001eb000600_gene:SORBI_3001G538932	gene:Zm00001eb001510_gene:SORBI_3001G528600	gene:Zm00001eb036930_gene:SORBI_3007G194100	gene:Zm00001eb000600_gene:SORBI_3001G538932	gene:Zm00001eb001510_gene:SORBI_3001G528600	gene:Zm00001eb422190_gene:SORBI_3006G076400
gene:Zm00001eb000500_gene:SORBI_3001G540700	gene:Zm00001eb000550_gene:SORBI_3001G539500	gene:Zm00001eb000550_gene:SORBI_3001G539500	gene:Zm00001eb022790_gene:SORBI_3001G306400	gene:Zm00001eb022790_gene:SORBI_3001G306400	gene:Zm00001eb000510_gene:SORBI_3001G540600	gene:Zm00001eb001670_gene:SORBI_3001G526800	gene:Zm00001eb106460_gene:SORBI_3002G329900	gene:Zm00001eb000620_gene:SORBI_3001G538800	gene:Zm00001eb001630_gene:SORBI_3001G527500	gene:Zm00001eb039970_gene:SORBI_3007G175900	gene:Zm00001eb000620_gene:SORBI_3001G538800	gene:Zm00001eb001630_gene:SORBI_3001G527500	gene:Zm00001eb422440_gene:SORBI_3006G081800
gene:Zm00001eb000510_gene:SORBI_3001G540600	gene:Zm00001eb000570_gene:SORBI_3001G539400	gene:Zm00001eb000570_gene:SORBI_3001G539400	gene:Zm00001eb022760_gene:SORBI_3001G308100	gene:Zm00001eb022760_gene:SORBI_3001G308100	gene:Zm00001eb000570_gene:SORBI_3001G539400	gene:Zm00001eb001680_gene:SORBI_3001G526600	gene:Zm00001eb117920_gene:SORBI_3002G019200	gene:Zm00001eb000640_gene:SORBI_3001G538700	gene:Zm00001eb001670_gene:SORBI_3001G526800	gene:Zm00001eb041030_gene:SORBI_3007G143200	gene:Zm00001eb000640_gene:SORBI_3001G538700	gene:Zm00001eb001670_gene:SORBI_3001G526800	gene:Zm00001eb429230_gene:SORBI_3006G178200
gene:Zm00001eb000520_gene:SORBI_3001G540400	gene:Zm00001eb000580_gene:SORBI_3001G539200	gene:Zm00001eb000580_gene:SORBI_3001G539200	gene:Zm00001eb022750_gene:SORBI_3001G308300	gene:Zm00001eb022750_gene:SORBI_3001G308300	gene:Zm00001eb000580_gene:SORBI_3001G539200	gene:Zm00001eb001710_gene:SORBI_3001G526300	gene:Zm00001eb118040_gene:SORBI_3002G013400	gene:Zm00001eb000650_gene:SORBI_3001G538100	gene:Zm00001eb001680_gene:SORBI_3001G526600	gene:Zm00001eb029280_gene:SORBI_3008G137300	gene:Zm00001eb000650_gene:SORBI_3001G538100	gene:Zm00001eb001680_gene:SORBI_3001G526600	gene:Zm00001eb429240_gene:SORBI_3006G178200
gene:Zm00001eb000540_gene:SORBI_3001G540200	gene:Zm00001eb000590_gene:SORBI_3001G539016	gene:Zm00001eb000590_gene:SORBI_3001G539016	gene:Zm00001eb022740_gene:SORBI_3001G308400	gene:Zm00001eb022740_gene:SORBI_3001G308400	gene:Zm00001eb000600_gene:SORBI_3001G538932	gene:Zm00001eb001720_gene:SORBI_3001G526200	gene:Zm00001eb115900_gene:SORBI_3005G210000	gene:Zm00001eb000660_gene:SORBI_3001G538000	gene:Zm00001eb001710_gene:SORBI_3001G526300	gene:Zm00001eb422190_gene:SORBI_3006G076400	gene:Zm00001eb000660_gene:SORBI_3001G538000	gene:Zm00001eb001710_gene:SORBI_3001G526300	gene:Zm00001eb431360_gene:SORBI_3006G223500
gene:Zm00001eb000550_gene:SORBI_3001G539500	gene:Zm00001eb000600_gene:SORBI_3001G538932	gene:Zm00001eb000600_gene:SORBI_3001G538932	gene:Zm00001eb022730_gene:SORBI_3001G308600	gene:Zm00001eb022730_gene:SORBI_3001G308600	gene:Zm00001eb000620_gene:SORBI_3001G538800	gene:Zm00001eb001880_gene:SORBI_3001G524200	gene:Zm00001eb069720_gene:SORBI_3006G223900	gene:Zm00001eb000670_gene:SORBI_3001G537800	gene:Zm00001eb001720_gene:SORBI_3001G526200	gene:Zm00001eb422440_gene:SORBI_3006G081800	gene:Zm00001eb000670_gene:SORBI_3001G537800	gene:Zm00001eb001720_gene:SORBI_3001G526200	gene:Zm00001eb431370_gene:SORBI_3006G223900
gene:Zm00001eb000570_gene:SORBI_3001G539400	gene:Zm00001eb000620_gene:SORBI_3001G538800	gene:Zm00001eb000620_gene:SORBI_3001G538800	gene:Zm00001eb022720_gene:SORBI_3001G308700	gene:Zm00001eb022720_gene:SORBI_3001G308700	gene:Zm00001eb000640_gene:SORBI_3001G538700	gene:Zm00001eb001890_gene:SORBI_3001G524100	gene:Zm00001eb069930_gene:SORBI_3006G223900	gene:Zm00001eb000680_gene:SORBI_3001G537600	gene:Zm00001eb001880_gene:SORBI_3001G524200	gene:Zm00001eb423450_gene:SORBI_3006G095800	gene:Zm00001eb000680_gene:SORBI_3001G537600	gene:Zm00001eb001880_gene:SORBI_3001G524200	gene:Zm00001eb414640_gene:SORBI_3007G090200
gene:Zm00001eb000580_gene:SORBI_3001G539200	gene:Zm00001eb000640_gene:SORBI_3001G538700	gene:Zm00001eb000640_gene:SORBI_3001G538700	gene:Zm00001eb022710_gene:SORBI_3001G309000	gene:Zm00001eb022710_gene:SORBI_3001G309000	gene:Zm00001eb000650_gene:SORBI_3001G538100	gene:Zm00001eb001900_gene:SORBI_3001G524000	gene:Zm00001eb075660_gene:SORBI_3006G158500	gene:Zm00001eb000710_gene:SORBI_3001G537100	gene:Zm00001eb001890_gene:SORBI_3001G524100	gene:Zm00001eb429230_gene:SORBI_3006G178200	gene:Zm00001eb000710_gene:SORBI_3001G537100	gene:Zm00001eb001890_gene:SORBI_3001G524100	gene:Zm00001eb416440_gene:SORBI_3007G039600
gene:Zm00001eb000590_gene:SORBI_3001G539016	gene:Zm00001eb000650_gene:SORBI_3001G538100	gene:Zm00001eb000650_gene:SORBI_3001G538100	gene:Zm00001eb022680_gene:SORBI_3001G309100	gene:Zm00001eb022680_gene:SORBI_3001G309100	gene:Zm00001eb000660_gene:SORBI_3001G538000	gene:Zm00001eb001940_gene:SORBI_3001G523200	gene:Zm00001eb075670_gene:SORBI_3006G158500	gene:Zm00001eb000740_gene:SORBI_3001G536800	gene:Zm00001eb001900_gene:SORBI_3001G524000	gene:Zm00001eb429240_gene:SORBI_3006G178200	gene:Zm00001eb000740_gene:SORBI_3001G536800	gene:Zm00001eb001900_gene:SORBI_3001G524000	gene:Zm00001eb408430_gene:SORBI_3008G059400
gene:Zm00001eb000600_gene:SORBI_3001G538932	gene:Zm00001eb000660_gene:SORBI_3001G538000	gene:Zm00001eb000660_gene:SORBI_3001G538000	gene:Zm00001eb022670_gene:SORBI_3001G309200	gene:Zm00001eb022670_gene:SORBI_3001G309200	gene:Zm00001eb000670_gene:SORBI_3001G537800	gene:Zm00001eb001980_gene:SORBI_3001G522900	gene:Zm00001eb078920_gene:SORBI_3006G129200	gene:Zm00001eb000770_gene:SORBI_3001G536500	gene:Zm00001eb001940_gene:SORBI_3001G523200	gene:Zm00001eb431360_gene:SORBI_3006G223500	gene:Zm00001eb000770_gene:SORBI_3001G536500	gene:Zm00001eb001940_gene:SORBI_3001G523200	gene:Zm00001eb409270_gene:SORBI_3008G105500
gene:Zm00001eb000620_gene:SORBI_3001G538800	gene:Zm00001eb000670_gene:SORBI_3001G537800	gene:Zm00001eb000670_gene:SORBI_3001G537800	gene:Zm00001eb022660_gene:SORBI_3001G309300	gene:Zm00001eb022660_gene:SORBI_3001G309300	gene:Zm00001eb000680_gene:SORBI_3001G537600	gene:Zm00001eb001990_gene:SORBI_3001G522700	gene:Zm00001eb079040_gene:SORBI_3006G129600	gene:Zm00001eb000780_gene:SORBI_3001G536400	gene:Zm00001eb001980_gene:SORBI_3001G522900	gene:Zm00001eb431370_gene:SORBI_3006G223900	gene:Zm00001eb000780_gene:SORBI_3001G536400	gene:Zm00001eb001980_gene:SORBI_3001G522900	gene:Zm00001eb411380_gene:SORBI_3008G080100
gene:Zm00001eb000640_gene:SORBI_3001G538700	gene:Zm00001eb000680_gene:SORBI_3001G537600	gene:Zm00001eb000680_gene:SORBI_3001G537600	gene:Zm00001eb022650_gene:SORBI_3001G309400	gene:Zm00001eb022650_gene:SORBI_3001G309400	gene:Zm00001eb000710_gene:SORBI_3001G537100	gene:Zm00001eb002010_gene:SORBI_3001G522500	gene:Zm00001eb083310_gene:SORBI_3006G076400	gene:Zm00001eb000800_gene:SORBI_3001G536000	gene:Zm00001eb001990_gene:SORBI_3001G522700	gene:Zm00001eb414640_gene:SORBI_3007G090200	gene:Zm00001eb000800_gene:SORBI_3001G536000	gene:Zm00001eb001990_gene:SORBI_3001G522700	gene:Zm00001eb411680_gene:SORBI_3008G080100
gene:Zm00001eb000650_gene:SORBI_3001G538100	gene:Zm00001eb000690_gene:SORBI_3001G537300	gene:Zm00001eb000690_gene:SORBI_3001G537300	gene:Zm00001eb022630_gene:SORBI_3001G309600	gene:Zm00001eb022630_gene:SORBI_3001G309600	gene:Zm00001eb000740_gene:SORBI_3001G536800	gene:Zm00001eb002020_gene:SORBI_3001G522400	gene:Zm00001eb094050_gene:SORBI_3008G008400	gene:Zm00001eb000840_gene:SORBI_3001G535400	gene:Zm00001eb002010_gene:SORBI_3001G522500	gene:Zm00001eb416280_gene:SORBI_3007G039800	gene:Zm00001eb000840_gene:SORBI_3001G535400	gene:Zm00001eb002010_gene:SORBI_3001G522500	gene:Zm00001eb096900_gene:SORBI_3002G118700
gene:Zm00001eb000660_gene:SORBI_3001G538000	gene:Zm00001eb000700_gene:SORBI_3001G537200	gene:Zm00001eb000700_gene:SORBI_3001G537200	gene:Zm00001eb022580_gene:SORBI_3001G309900	gene:Zm00001eb022580_gene:SORBI_3001G309900	gene:Zm00001eb000770_gene:SORBI_3001G536500	gene:Zm00001eb002030_gene:SORBI_3001G522300	gene:Zm00001eb119840_gene:SORBI_3003G019700	gene:Zm00001eb000850_gene:SORBI_3001G535600	gene:Zm00001eb002020_gene:SORBI_3001G522400	gene:Zm00001eb416320_gene:SORBI_3007G040700	gene:Zm00001eb000850_gene:SORBI_3001G535600	gene:Zm00001eb002020_gene:SORBI_3001G522400	gene:Zm00001eb097100_gene:SORBI_3002G118700
gene:Zm00001eb000670_gene:SORBI_3001G537800	gene:Zm00001eb000710_gene:SORBI_3001G537100	gene:Zm00001eb000710_gene:SORBI_3001G537100	gene:Zm00001eb022540_gene:SORBI_3001G310300	gene:Zm00001eb022550_gene:SORBI_3001G310300	gene:Zm00001eb000780_gene:SORBI_3001G536400	gene:Zm00001eb002240_gene:SORBI_3001G520200	gene:Zm00001eb124080_gene:SORBI_3003G072000	gene:Zm00001eb000880_gene:SORBI_3001G534300	gene:Zm00001eb002030_gene:SORBI_3001G522300	gene:Zm00001eb408430_gene:SORBI_3008G059400	gene:Zm00001eb000880_gene:SORBI_3001G534300	gene:Zm00001eb002030_gene:SORBI_3001G522300	gene:Zm00001eb097720_gene:SORBI_3002G160200
