query_gene	ref_gene	query_chr	ref_chr	query_index	ref_index	Type
gene:Zm00001eb035390	gene:SORBI_3007G205900	1	7	3149	2147	shared_gene_pairs
gene:Zm00001eb035420	gene:SORBI_3007G205800	1	7	3150	2146	shared_gene_pairs
gene:Zm00001eb035440	gene:SORBI_3007G205600	1	7	3152	2144	shared_gene_pairs
gene:Zm00001eb035450	gene:SORBI_3007G205500	1	7	3153	2143	shared_gene_pairs
gene:Zm00001eb035460	gene:SORBI_3007G205400	1	7	3154	2142	shared_gene_pairs
gene:Zm00001eb035470	gene:SORBI_3007G205300	1	7	3155	2141	quota_align
gene:Zm00001eb035490	gene:SORBI_3007G205100	1	7	3157	2139	shared_gene_pairs
gene:Zm00001eb035500	gene:SORBI_3007G205000	1	7	3158	2138	shared_gene_pairs
gene:Zm00001eb035540	gene:SORBI_3007G204800	1	7	3162	2136	shared_gene_pairs
gene:Zm00001eb035550	gene:SORBI_3007G204700	1	7	3163	2135	shared_gene_pairs
gene:Zm00001eb035580	gene:SORBI_3007G204400	1	7	3166	2132	shared_gene_pairs
gene:Zm00001eb035590	gene:SORBI_3007G204200	1	7	3167	2129	shared_gene_pairs
gene:Zm00001eb035600	gene:SORBI_3007G204100	1	7	3168	2128	shared_gene_pairs
gene:Zm00001eb035630	gene:SORBI_3007G203700	1	7	3171	2123	shared_gene_pairs
gene:Zm00001eb035640	gene:SORBI_3007G203500	1	7	3172	2121	shared_gene_pairs
gene:Zm00001eb035650	gene:SORBI_3007G203400	1	7	3173	2120	shared_gene_pairs
gene:Zm00001eb035660	gene:SORBI_3007G203200	1	7	3174	2118	shared_gene_pairs
gene:Zm00001eb035670	gene:SORBI_3007G203100	1	7	3175	2117	shared_gene_pairs
gene:Zm00001eb035680	gene:SORBI_3007G202800	1	7	3176	2114	shared_gene_pairs
gene:Zm00001eb035690	gene:SORBI_3007G202700	1	7	3177	2113	shared_gene_pairs
gene:Zm00001eb035700	gene:SORBI_3007G202600	1	7	3178	2112	shared_gene_pairs
gene:Zm00001eb035710	gene:SORBI_3007G202000	1	7	3179	2105	shared_gene_pairs
gene:Zm00001eb035720	gene:SORBI_3007G201900	1	7	3180	2104	shared_gene_pairs
gene:Zm00001eb035730	gene:SORBI_3007G201800	1	7	3181	2103	shared_gene_pairs
gene:Zm00001eb035740	gene:SORBI_3007G201700	1	7	3182	2102	shared_gene_pairs
gene:Zm00001eb035750	gene:SORBI_3007G201500	1	7	3183	2099	shared_gene_pairs
gene:Zm00001eb035760	gene:SORBI_3007G201400	1	7	3184	2097	shared_gene_pairs
gene:Zm00001eb035780	gene:SORBI_3007G201100	1	7	3186	2094	shared_gene_pairs
gene:Zm00001eb035790	gene:SORBI_3007G201000	1	7	3187	2093	shared_gene_pairs
gene:Zm00001eb035800	gene:SORBI_3007G200900	1	7	3188	2092	shared_gene_pairs
gene:Zm00001eb035820	gene:SORBI_3007G200600	1	7	3190	2090	shared_gene_pairs
gene:Zm00001eb035840	gene:SORBI_3007G200500	1	7	3192	2089	shared_gene_pairs
gene:Zm00001eb035850	gene:SORBI_3007G200400	1	7	3193	2088	shared_gene_pairs
gene:Zm00001eb035860	gene:SORBI_3007G200100	1	7	3194	2085	shared_gene_pairs
gene:Zm00001eb035870	gene:SORBI_3007G200000	1	7	3195	2084	shared_gene_pairs
gene:Zm00001eb035890	gene:SORBI_3007G198500	1	7	3197	2069	quota_Anchor
gene:Zm00001eb035890	gene:SORBI_3007G198800	1	7	3197	2072	quota_align
gene:Zm00001eb035960	gene:SORBI_3007G198300	1	7	3204	2067	shared_gene_pairs
gene:Zm00001eb035970	gene:SORBI_3007G198100	1	7	3205	2065	shared_gene_pairs
gene:Zm00001eb036020	gene:SORBI_3007G197800	1	7	3210	2062	shared_gene_pairs
gene:Zm00001eb036040	gene:SORBI_3007G197700	1	7	3212	2061	shared_gene_pairs
gene:Zm00001eb036050	gene:SORBI_3007G197600	1	7	3213	2060	shared_gene_pairs
gene:Zm00001eb036130	gene:SORBI_3007G197200	1	7	3219	2055	shared_gene_pairs
gene:Zm00001eb036140	gene:SORBI_3007G197100	1	7	3220	2054	shared_gene_pairs
gene:Zm00001eb036160	gene:SORBI_3007G197000	1	7	3222	2053	shared_gene_pairs
gene:Zm00001eb036180	gene:SORBI_3007G196900	1	7	3224	2052	shared_gene_pairs
gene:Zm00001eb036220	gene:SORBI_3007G196800	1	7	3227	2051	shared_gene_pairs
gene:Zm00001eb036250	gene:SORBI_3007G196500	1	7	3229	2048	shared_gene_pairs
gene:Zm00001eb036270	gene:SORBI_3007G196400	1	7	3230	2047	shared_gene_pairs
gene:Zm00001eb036300	gene:SORBI_3007G196201	1	7	3233	2045	shared_gene_pairs
gene:Zm00001eb036310	gene:SORBI_3007G195900	1	7	3234	2042	shared_gene_pairs
gene:Zm00001eb036320	gene:SORBI_3007G195800	1	7	3235	2041	shared_gene_pairs
gene:Zm00001eb036350	gene:SORBI_3007G195400	1	7	3238	2037	shared_gene_pairs
gene:Zm00001eb036370	gene:SORBI_3007G195300	1	7	3240	2036	shared_gene_pairs
gene:Zm00001eb036380	gene:SORBI_3007G195201	1	7	3241	2035	shared_gene_pairs
gene:Zm00001eb036440	gene:SORBI_3007G195100	1	7	3247	2034	shared_gene_pairs
gene:Zm00001eb036450	gene:SORBI_3007G195000	1	7	3248	2033	shared_gene_pairs
gene:Zm00001eb036470	gene:SORBI_3007G194900	1	7	3249	2032	shared_gene_pairs
gene:Zm00001eb036480	gene:SORBI_3007G194700	1	7	3250	2030	shared_gene_pairs
gene:Zm00001eb036510	gene:SORBI_3007G194600	1	7	3253	2029	shared_gene_pairs
gene:Zm00001eb036530	gene:SORBI_3007G194500	1	7	3255	2028	shared_gene_pairs
gene:Zm00001eb036550	gene:SORBI_3007G194400	1	7	3257	2027	shared_gene_pairs
gene:Zm00001eb036560	gene:SORBI_3007G194300	1	7	3258	2026	shared_gene_pairs
gene:Zm00001eb036570	gene:SORBI_3007G194200	1	7	3259	2025	shared_gene_pairs
gene:Zm00001eb036580	gene:SORBI_3007G194000	1	7	3260	2023	shared_gene_pairs
gene:Zm00001eb036590	gene:SORBI_3007G193300	1	7	3261	2016	shared_gene_pairs
gene:Zm00001eb036610	gene:SORBI_3007G193200	1	7	3263	2015	shared_gene_pairs
gene:Zm00001eb036630	gene:SORBI_3007G192900	1	7	3264	2013	shared_gene_pairs
gene:Zm00001eb036640	gene:SORBI_3007G192800	1	7	3265	2012	shared_gene_pairs
gene:Zm00001eb036710	gene:SORBI_3007G192500	1	7	3272	2009	shared_gene_pairs
gene:Zm00001eb036750	gene:SORBI_3007G192200	1	7	3275	2006	shared_gene_pairs
gene:Zm00001eb036760	gene:SORBI_3007G192100	1	7	3276	2005	shared_gene_pairs
gene:Zm00001eb036770	gene:SORBI_3007G192000	1	7	3277	2004	shared_gene_pairs
gene:Zm00001eb036780	gene:SORBI_3007G191900	1	7	3278	2003	shared_gene_pairs
gene:Zm00001eb036800	gene:SORBI_3007G191700	1	7	3280	2001	shared_gene_pairs
gene:Zm00001eb036840	gene:SORBI_3007G191600	1	7	3283	2000	shared_gene_pairs
gene:Zm00001eb036890	gene:SORBI_3007G191100	1	7	3288	1994	shared_gene_pairs
gene:Zm00001eb036900	gene:SORBI_3007G190800	1	7	3289	1991	shared_gene_pairs
gene:Zm00001eb036910	gene:SORBI_3007G190700	1	7	3290	1990	shared_gene_pairs
gene:Zm00001eb036920	gene:SORBI_3007G190333	1	7	3291	1987	shared_gene_pairs
gene:Zm00001eb036930	gene:SORBI_3007G190200	1	7	3292	1986	shared_gene_pairs
gene:Zm00001eb036930	gene:SORBI_3007G194100	1	7	3292	2024	quota_align
gene:Zm00001eb036940	gene:SORBI_3007G190100	1	7	3293	1985	shared_gene_pairs
gene:Zm00001eb036950	gene:SORBI_3007G190000	1	7	3294	1984	shared_gene_pairs
gene:Zm00001eb036970	gene:SORBI_3007G189800	1	7	3296	1982	shared_gene_pairs
gene:Zm00001eb036990	gene:SORBI_3007G189400	1	7	3297	1978	shared_gene_pairs
gene:Zm00001eb037010	gene:SORBI_3007G189100	1	7	3299	1975	shared_gene_pairs
gene:Zm00001eb037020	gene:SORBI_3007G189000	1	7	3300	1974	quota_Anchor
gene:Zm00001eb037030	gene:SORBI_3007G188900	1	7	3301	1973	shared_gene_pairs
gene:Zm00001eb037040	gene:SORBI_3007G188701	1	7	3302	1971	shared_gene_pairs
gene:Zm00001eb037050	gene:SORBI_3007G188600	1	7	3303	1970	shared_gene_pairs
gene:Zm00001eb037080	gene:SORBI_3007G188100	1	7	3306	1965	shared_gene_pairs
gene:Zm00001eb037110	gene:SORBI_3007G187800	1	7	3308	1962	quota_Anchor
gene:Zm00001eb037120	gene:SORBI_3007G187700	1	7	3309	1961	shared_gene_pairs
gene:Zm00001eb037160	gene:SORBI_3007G187300	1	7	3313	1957	shared_gene_pairs
gene:Zm00001eb037170	gene:SORBI_3007G187200	1	7	3314	1956	shared_gene_pairs
gene:Zm00001eb037200	gene:SORBI_3007G186800	1	7	3317	1952	shared_gene_pairs
gene:Zm00001eb037210	gene:SORBI_3007G186100	1	7	3318	1945	shared_gene_pairs
gene:Zm00001eb037230	gene:SORBI_3007G186000	1	7	3320	1944	shared_gene_pairs
gene:Zm00001eb037260	gene:SORBI_3007G185900	1	7	3324	1943	shared_gene_pairs
gene:Zm00001eb037280	gene:SORBI_3007G185100	1	7	3325	1936	shared_gene_pairs
gene:Zm00001eb037290	gene:SORBI_3007G184800	1	7	3326	1934	shared_gene_pairs
gene:Zm00001eb037300	gene:SORBI_3007G184700	1	7	3327	1933	shared_gene_pairs
gene:Zm00001eb037310	gene:SORBI_3007G184600	1	7	3328	1932	shared_gene_pairs
gene:Zm00001eb037330	gene:SORBI_3007G184400	1	7	3330	1930	shared_gene_pairs
gene:Zm00001eb037350	gene:SORBI_3007G184200	1	7	3332	1928	shared_gene_pairs
gene:Zm00001eb037360	gene:SORBI_3007G183800	1	7	3333	1924	shared_gene_pairs
gene:Zm00001eb037380	gene:SORBI_3007G183700	1	7	3334	1923	shared_gene_pairs
gene:Zm00001eb037390	gene:SORBI_3007G183600	1	7	3335	1922	shared_gene_pairs
gene:Zm00001eb037410	gene:SORBI_3007G183500	1	7	3336	1921	shared_gene_pairs
gene:Zm00001eb037420	gene:SORBI_3007G183300	1	7	3337	1919	shared_gene_pairs
gene:Zm00001eb037440	gene:SORBI_3007G183050	1	7	3339	1916	shared_gene_pairs
gene:Zm00001eb037450	gene:SORBI_3007G182600	1	7	3340	1911	shared_gene_pairs
gene:Zm00001eb037460	gene:SORBI_3007G182500	1	7	3341	1910	shared_gene_pairs
gene:Zm00001eb037470	gene:SORBI_3007G182300	1	7	3342	1908	shared_gene_pairs
gene:Zm00001eb037480	gene:SORBI_3007G182101	1	7	3343	1906	shared_gene_pairs
gene:Zm00001eb037500	gene:SORBI_3007G181900	1	7	3345	1904	shared_gene_pairs
gene:Zm00001eb037520	gene:SORBI_3007G181600	1	7	3347	1901	shared_gene_pairs
gene:Zm00001eb037530	gene:SORBI_3007G181500	1	7	3348	1900	shared_gene_pairs
gene:Zm00001eb037540	gene:SORBI_3007G181400	1	7	3349	1899	shared_gene_pairs
gene:Zm00001eb037550	gene:SORBI_3007G181100	1	7	3350	1897	shared_gene_pairs
gene:Zm00001eb037570	gene:SORBI_3007G180900	1	7	3352	1895	shared_gene_pairs
gene:Zm00001eb037600	gene:SORBI_3007G180300	1	7	3355	1890	shared_gene_pairs
gene:Zm00001eb037610	gene:SORBI_3007G180200	1	7	3357	1889	shared_gene_pairs
gene:Zm00001eb037640	gene:SORBI_3007G152000	1	7	3358	1600	shared_gene_pairs
gene:Zm00001eb037670	gene:SORBI_3007G152300	1	7	3360	1603	shared_gene_pairs
gene:Zm00001eb037680	gene:SORBI_3007G152400	1	7	3361	1604	shared_gene_pairs
gene:Zm00001eb037690	gene:SORBI_3007G152800	1	7	3362	1608	shared_gene_pairs
gene:Zm00001eb037700	gene:SORBI_3007G152900	1	7	3363	1609	shared_gene_pairs
gene:Zm00001eb037710	gene:SORBI_3007G153100	1	7	3364	1611	shared_gene_pairs
gene:Zm00001eb037730	gene:SORBI_3007G153300	1	7	3366	1613	shared_gene_pairs
gene:Zm00001eb037740	gene:SORBI_3007G153400	1	7	3367	1614	shared_gene_pairs
gene:Zm00001eb037820	gene:SORBI_3007G153500	1	7	3370	1615	shared_gene_pairs
gene:Zm00001eb037840	gene:SORBI_3007G154500	1	7	3371	1626	quota_align
gene:Zm00001eb037860	gene:SORBI_3007G153900	1	7	3373	1619	shared_gene_pairs
gene:Zm00001eb037890	gene:SORBI_3007G153600	1	7	3376	1616	quota_align
gene:Zm00001eb037930	gene:SORBI_3007G154701	1	7	3380	1628	shared_gene_pairs
gene:Zm00001eb037950	gene:SORBI_3007G155000	1	7	3382	1631	shared_gene_pairs
gene:Zm00001eb037960	gene:SORBI_3007G155300	1	7	3383	1635	shared_gene_pairs
gene:Zm00001eb037970	gene:SORBI_3007G155500	1	7	3384	1637	shared_gene_pairs
gene:Zm00001eb037980	gene:SORBI_3007G155600	1	7	3385	1638	shared_gene_pairs
gene:Zm00001eb038010	gene:SORBI_3007G155900	1	7	3388	1640	shared_gene_pairs
gene:Zm00001eb038030	gene:SORBI_3007G156101	1	7	3390	1643	shared_gene_pairs
gene:Zm00001eb038040	gene:SORBI_3007G156200	1	7	3391	1644	shared_gene_pairs
gene:Zm00001eb038060	gene:SORBI_3007G156500	1	7	3392	1647	shared_gene_pairs
gene:Zm00001eb038070	gene:SORBI_3007G156700	1	7	3393	1649	shared_gene_pairs
gene:Zm00001eb038090	gene:SORBI_3007G156800	1	7	3394	1650	shared_gene_pairs
gene:Zm00001eb038100	gene:SORBI_3007G156900	1	7	3395	1651	quota_align
gene:Zm00001eb038110	gene:SORBI_3007G157300	1	7	3396	1655	shared_gene_pairs
gene:Zm00001eb038140	gene:SORBI_3007G157500	1	7	3399	1657	shared_gene_pairs
gene:Zm00001eb038160	gene:SORBI_3007G157700	1	7	3400	1660	shared_gene_pairs
gene:Zm00001eb038180	gene:SORBI_3007G157800	1	7	3402	1661	shared_gene_pairs
gene:Zm00001eb038190	gene:SORBI_3007G157900	1	7	3403	1662	shared_gene_pairs
gene:Zm00001eb038200	gene:SORBI_3007G158000	1	7	3404	1663	shared_gene_pairs
gene:Zm00001eb038210	gene:SORBI_3007G158100	1	7	3405	1664	shared_gene_pairs
gene:Zm00001eb038230	gene:SORBI_3007G158300	1	7	3407	1666	shared_gene_pairs
gene:Zm00001eb038240	gene:SORBI_3007G158400	1	7	3408	1667	shared_gene_pairs
gene:Zm00001eb038250	gene:SORBI_3007G158500	1	7	3409	1668	quota_Anchor
gene:Zm00001eb038270	gene:SORBI_3007G158600	1	7	3411	1669	quota_Anchor
gene:Zm00001eb038270	gene:SORBI_3007G158500	1	7	3411	1668	quota_align
gene:Zm00001eb038280	gene:SORBI_3007G158700	1	7	3412	1670	shared_gene_pairs
gene:Zm00001eb038290	gene:SORBI_3007G158800	1	7	3413	1671	quota_Anchor
gene:Zm00001eb038300	gene:SORBI_3007G158900	1	7	3414	1672	shared_gene_pairs
gene:Zm00001eb038310	gene:SORBI_3007G159200	1	7	3415	1675	shared_gene_pairs
gene:Zm00001eb038320	gene:SORBI_3007G159300	1	7	3416	1676	shared_gene_pairs
gene:Zm00001eb038350	gene:SORBI_3007G159500	1	7	3419	1680	shared_gene_pairs
gene:Zm00001eb038360	gene:SORBI_3007G159450	1	7	3418	1677	quota_align
gene:Zm00001eb038370	gene:SORBI_3007G159700	1	7	3420	1681	shared_gene_pairs
gene:Zm00001eb038400	gene:SORBI_3007G159900	1	7	3422	1683	shared_gene_pairs
gene:Zm00001eb038410	gene:SORBI_3007G160200	1	7	3423	1685	shared_gene_pairs
gene:Zm00001eb038430	gene:SORBI_3007G160300	1	7	3425	1686	shared_gene_pairs
gene:Zm00001eb038450	gene:SORBI_3007G160400	1	7	3428	1687	shared_gene_pairs
gene:Zm00001eb038470	gene:SORBI_3007G160600	1	7	3429	1689	shared_gene_pairs
gene:Zm00001eb038490	gene:SORBI_3007G161000	1	7	3431	1692	shared_gene_pairs
gene:Zm00001eb038500	gene:SORBI_3007G161100	1	7	3432	1693	shared_gene_pairs
gene:Zm00001eb038510	gene:SORBI_3007G161200	1	7	3433	1694	shared_gene_pairs
gene:Zm00001eb038530	gene:SORBI_3007G161500	1	7	3434	1698	shared_gene_pairs
gene:Zm00001eb038540	gene:SORBI_3007G161600	1	7	3435	1699	shared_gene_pairs
gene:Zm00001eb038560	gene:SORBI_3007G161700	1	7	3436	1700	shared_gene_pairs
gene:Zm00001eb038580	gene:SORBI_3007G162000	1	7	3438	1702	shared_gene_pairs
gene:Zm00001eb038600	gene:SORBI_3007G162100	1	7	3439	1703	shared_gene_pairs
gene:Zm00001eb038610	gene:SORBI_3007G162200	1	7	3440	1704	shared_gene_pairs
gene:Zm00001eb038620	gene:SORBI_3007G162300	1	7	3441	1706	shared_gene_pairs
gene:Zm00001eb038640	gene:SORBI_3007G162500	1	7	3443	1708	shared_gene_pairs
gene:Zm00001eb038650	gene:SORBI_3007G162600	1	7	3444	1709	shared_gene_pairs
gene:Zm00001eb038660	gene:SORBI_3007G162700	1	7	3445	1710	shared_gene_pairs
gene:Zm00001eb038670	gene:SORBI_3007G163100	1	7	3446	1714	shared_gene_pairs
gene:Zm00001eb038680	gene:SORBI_3007G163400	1	7	3447	1717	shared_gene_pairs
gene:Zm00001eb038690	gene:SORBI_3007G163500	1	7	3448	1720	shared_gene_pairs
gene:Zm00001eb038700	gene:SORBI_3007G163700	1	7	3449	1722	shared_gene_pairs
gene:Zm00001eb038710	gene:SORBI_3007G163800	1	7	3450	1723	shared_gene_pairs
gene:Zm00001eb038730	gene:SORBI_3007G164400	1	7	3452	1731	shared_gene_pairs
gene:Zm00001eb038810	gene:SORBI_3007G165000	1	7	3459	1736	quota_Anchor
gene:Zm00001eb038820	gene:SORBI_3007G165100	1	7	3460	1737	shared_gene_pairs
gene:Zm00001eb038830	gene:SORBI_3007G165300	1	7	3461	1739	shared_gene_pairs
gene:Zm00001eb038860	gene:SORBI_3007G165400	1	7	3463	1740	shared_gene_pairs
