gene:Zm00001eb000170	gene:SORBI_3001G544500
gene:Zm00001eb001680	gene:SORBI_3001G526600
gene:Zm00001eb001690	gene:SORBI_3001G526500
gene:Zm00001eb001710	gene:SORBI_3001G526300
gene:Zm00001eb001720	gene:SORBI_3001G526200
gene:Zm00001eb001760	gene:SORBI_3001G526000
gene:Zm00001eb001770	gene:SORBI_3001G525900
gene:Zm00001eb001780	gene:SORBI_3001G525500
gene:Zm00001eb001810	gene:SORBI_3001G525400
gene:Zm00001eb001820	gene:SORBI_3001G525300
gene:Zm00001eb001830	gene:SORBI_3001G525000
gene:Zm00001eb001840	gene:SORBI_3001G524900
gene:Zm00001eb001860	gene:SORBI_3001G524400
gene:Zm00001eb001870	gene:SORBI_3001G524300
gene:Zm00001eb001880	gene:SORBI_3001G524200
gene:Zm00001eb001890	gene:SORBI_3001G524100
gene:Zm00001eb001900	gene:SORBI_3001G524000
gene:Zm00001eb001910	gene:SORBI_3001G523700
gene:Zm00001eb001920	gene:SORBI_3001G523500
gene:Zm00001eb001940	gene:SORBI_3001G523200
gene:Zm00001eb001970	gene:SORBI_3001G523000
gene:Zm00001eb001980	gene:SORBI_3001G522900
gene:Zm00001eb001990	gene:SORBI_3001G522700
gene:Zm00001eb002000	gene:SORBI_3001G522600
gene:Zm00001eb002010	gene:SORBI_3001G522500
gene:Zm00001eb002020	gene:SORBI_3001G522400
gene:Zm00001eb002030	gene:SORBI_3001G522300
gene:Zm00001eb002040	gene:SORBI_3001G522100
gene:Zm00001eb002060	gene:SORBI_3001G522000
gene:Zm00001eb002070	gene:SORBI_3001G521900
gene:Zm00001eb002100	gene:SORBI_3001G521500
gene:Zm00001eb002170	gene:SORBI_3001G521100
gene:Zm00001eb002180	gene:SORBI_3001G520900
gene:Zm00001eb002190	gene:SORBI_3001G520800
gene:Zm00001eb002220	gene:SORBI_3001G520300
gene:Zm00001eb002240	gene:SORBI_3001G520200
gene:Zm00001eb002250	gene:SORBI_3001G520100
gene:Zm00001eb002260	gene:SORBI_3001G519900
gene:Zm00001eb002270	gene:SORBI_3001G519800
gene:Zm00001eb002290	gene:SORBI_3001G519700
gene:Zm00001eb002300	gene:SORBI_3001G519300
gene:Zm00001eb002310	gene:SORBI_3001G519100
gene:Zm00001eb002320	gene:SORBI_3001G519000
gene:Zm00001eb002350	gene:SORBI_3001G518900
gene:Zm00001eb002380	gene:SORBI_3001G518800
gene:Zm00001eb002390	gene:SORBI_3001G518700
gene:Zm00001eb002420	gene:SORBI_3001G518500
gene:Zm00001eb002430	gene:SORBI_3001G518400
gene:Zm00001eb002440	gene:SORBI_3001G518300
gene:Zm00001eb002450	gene:SORBI_3001G518200
gene:Zm00001eb002460	gene:SORBI_3001G518100
gene:Zm00001eb002470	gene:SORBI_3001G518000
gene:Zm00001eb002490	gene:SORBI_3001G517800
gene:Zm00001eb002510	gene:SORBI_3001G517700
gene:Zm00001eb002520	gene:SORBI_3001G517600
gene:Zm00001eb002530	gene:SORBI_3001G517500
gene:Zm00001eb002540	gene:SORBI_3001G517200
gene:Zm00001eb002550	gene:SORBI_3001G517100
gene:Zm00001eb002560	gene:SORBI_3001G516901
gene:Zm00001eb002570	gene:SORBI_3001G516600
gene:Zm00001eb002600	gene:SORBI_3001G516200
gene:Zm00001eb002610	gene:SORBI_3001G516100
gene:Zm00001eb002620	gene:SORBI_3001G516000
gene:Zm00001eb002660	gene:SORBI_3001G515800
gene:Zm00001eb002680	gene:SORBI_3001G515600
gene:Zm00001eb002690	gene:SORBI_3001G515500
gene:Zm00001eb002720	gene:SORBI_3001G515300
gene:Zm00001eb002740	gene:SORBI_3001G514800
gene:Zm00001eb002760	gene:SORBI_3001G514700
gene:Zm00001eb002780	gene:SORBI_3001G514400
gene:Zm00001eb002790	gene:SORBI_3001G514300
gene:Zm00001eb002810	gene:SORBI_3001G514100
gene:Zm00001eb002820	gene:SORBI_3001G513800
gene:Zm00001eb002830	gene:SORBI_3001G513700
gene:Zm00001eb002850	gene:SORBI_3001G513600
gene:Zm00001eb002860	gene:SORBI_3001G513400
gene:Zm00001eb002870	gene:SORBI_3001G513300
gene:Zm00001eb002920	gene:SORBI_3001G513100
gene:Zm00001eb002930	gene:SORBI_3001G513000
gene:Zm00001eb002940	gene:SORBI_3001G512900
gene:Zm00001eb002960	gene:SORBI_3001G512800
gene:Zm00001eb003020	gene:SORBI_3001G512600
gene:Zm00001eb003030	gene:SORBI_3001G512500
gene:Zm00001eb003070	gene:SORBI_3001G512300
gene:Zm00001eb003080	gene:SORBI_3001G512200
gene:Zm00001eb003090	gene:SORBI_3001G512100
gene:Zm00001eb003110	gene:SORBI_3001G512000
gene:Zm00001eb003120	gene:SORBI_3001G511400
gene:Zm00001eb003130	gene:SORBI_3001G511300
gene:Zm00001eb003140	gene:SORBI_3001G511200
gene:Zm00001eb003150	gene:SORBI_3001G511100
gene:Zm00001eb003170	gene:SORBI_3001G511000
gene:Zm00001eb003180	gene:SORBI_3001G510800
gene:Zm00001eb003190	gene:SORBI_3001G510700
gene:Zm00001eb003200	gene:SORBI_3001G510600
gene:Zm00001eb003210	gene:SORBI_3001G510500
gene:Zm00001eb003230	gene:SORBI_3001G510300
gene:Zm00001eb003240	gene:SORBI_3001G510400
gene:Zm00001eb003330	gene:SORBI_3001G509700
